rank,country,average Broadband Download Speed
1,Singapore,314.09
2,Hong Kong (SAR),305.37
3,Moldova,298.65
4,Chile,298.32
5,Switzerland,298.06
6,Monaco,297.96
7,France,295.64
8,China,287.28
9,Denmark,277.92
10,Romania,275.01
11,United Arab Emirates,270.37
12,United States,268.98
13,Japan,267.11
14,Thailand,265.53
15,Liechtenstein,265.13
16,Spain,262.32
17,Hungary,260.40
18,Canada,254.48
19,South Korea,249.31
20,Israel,240.76
21,Andorra,229.63
22,New Zealand,227.48
23,Netherlands,224.03
24,Portugal,220.47
25,Macau (SAR),217.19
26,Luxembourg,213.34
27,Sweden,208.01
28,Poland,203.86
29,Uruguay,201.32
30,Taiwan,199.72
31,Malta,198.80
32,Norway,197.10
33,Lithuania,195.33
34,Kuwait,193.03
35,Brazil,183.03
36,Latvia,179.97
37,Finland,179.36
38,Panama,177.93
39,Vietnam,174.50
40,Slovenia,168.48
41,Ireland,167.50
42,Slovakia,167.11
43,Belgium,166.97
44,Barbados,164.42
45,Qatar,164.28
46,United Kingdom,162.68
47,Italy,158.69
48,Germany,157.71
49,Philippines,149.37
50,Malaysia,149.17
51,Austria,139.34
52,Jordan,138.61
53,Colombia,138.48
54,Dominica,131.50
55,Czechia,131.34
56,Saint Lucia,130.01
57,Saudi Arabia,129.59
58,Bulgaria,124.48
59,Peru,123.88
60,Argentina,122.96
61,Serbia,122.75
62,Russia,122.46
63,Grenada,116.00
64,Croatia,115.69
65,Saint Vincent and the Grenadines,115.35
66,Estonia,114.92
67,San Marino,113.93
68,Oman,109.93
69,Ukraine,108.77
70,Trinidad and Tobago,107.37
71,Paraguay,105.05
72,Guyana,103.14
73,Cyprus,100.39
74,Bahrain,99.11
75,Australia,97.61
76,Costa Rica,97.15
77,Belarus,92.92
78,Nepal,91.73
79,Ecuador,90.56
80,Mexico,90.08
81,Montenegro,88.13
82,Palestine,84.24
83,The Bahamas,84.00
84,Armenia,83.63
85,India,81.91
86,Albania,81.45
87,Kosovo,79.74
88,South Africa,78.64
89,Kazakhstan,77.53
90,Jamaica,73.16
91,Uzbekistan,71.33
92,Turkey,70.57
93,Nicaragua,68.98
94,Mongolia,67.84
95,North Macedonia,67.52
96,Saint Kitts and Nevis,65.30
97,Greece,65.12
98,Brunei,64.85
99,Ghana,63.00
100,Bosnia and Herzegovina,62.41
101,Burkina Faso,60.26
102,Guatemala,59.55
103,Côte d'Ivoire,59.51
104,Kyrgyzstan,58.48
105,Bangladesh,58.35
106,Mauritius,58.00
107,Belize,56.80
108,Gabon,55.52
109,El Salvador,53.05
110,Venezuela,52.90
111,Congo,51.40
112,Laos,48.70
113,Rwanda,47.18
114,Haiti,46.67
115,Egypt,46.10
116,Iraq,43.76
117,Dominican Republic,43.64
118,Sri Lanka,42.32
119,Honduras,41.82
120,Cambodia,41.51
121,Senegal,41.49
122,Tajikistan,40.70
123,Seychelles,40.40
124,Bolivia,39.69
125,Togo,39.57
126,Indonesia,39.47
127,Morocco,39.05
128,Antigua and Barbuda,39.02
129,Madagascar,38.94
130,Azerbaijan,38.50
131,Western Sahara,36.74
132,Nigeria,36.60
133,Lesotho,32.58
134,Ethiopia,31.83
135,Maldives,31.62
136,Niger,31.57
137,Georgia,30.44
138,Cape Verde,29.19
139,Papua New Guinea,28.17
140,Somalia,28.08
141,Fiji,27.90
142,Mauritania,27.44
143,Myanmar (Burma),26.85
144,Mali,26.65
145,Djibouti,26.58
146,Swaziland,25.56
147,Benin,25.20
148,Angola,25.18
149,Bhutan,24.81
150,Malawi,24.40
151,Iran,24.04
152,Zimbabwe,23.98
153,Cameroon,23.74
154,Kenya,22.97
155,Tanzania,22.92
156,Lebanon,22.88
157,Suriname,22.60
158,Micronesia,21.92
159,Sierra Leone,21.70
160,Sudan,21.35
161,DR Congo,21.26
162,Namibia,20.49
163,Uganda,19.74
164,Zambia,18.99
165,Algeria,18.86
166,Pakistan,18.68
167,Guinea,18.46
168,Libya,18.06
169,Botswana,16.86
170,Vanuatu,16.13
171,Syria,16.08
172,Mozambique,14.02
173,The Gambia,13.92
174,Tunisia,13.71
175,Liberia,12.56
176,Yemen,11.59
177,East Timor,11.31
178,Burundi,11.13
179,Cuba,8.96
180,Afghanistan,8.57
181,Turkmenistan,6.31
