Country,Total Score
Sweden,100 Free
Finland,100 Free
Norway,100 Free
New Zealand,99 Free
Canada,98 Free
Ireland,97 Free
San Marino,97 Free
Luxembourg,97 Free
Netherlands,97 Free
Denmark,97 Free
Switzerland,96 Free
Uruguay,96 Free
Japan,96 Free
Belgium,96 Free
Portugal,96 Free
Slovenia,95 Free
Australia,95 Free
Germany,94 Free
Estonia,94 Free
Chile,94 Free
Barbados,94 Free
Taiwan,94 Free
Iceland,94 Free
Tuvalu,93 Free
Andorra,93 Free
Austria,93 Free
Dominica,93 Free
Marshall Islands,93 Free
United Kingdom,93 Free
Micronesia,92 Free
Cabo Verde,92 Free
Czech Republic,92 Free
Palau,92 Free
St. Lucia,92 Free
Cyprus,92 Free
The Bahamas,91 Free
St. Vincent and the Grenadines,91 Free
Costa Rica,91 Free
Kiribati,91 Free
Spain,90 Free
Liechtenstein,90 Free
Slovakia,90 Free
Italy,90 Free
Lithuania,89 Free
Malta,89 Free
Grenada,89 Free
France,89 Free
St. Kitts and Nevis,89 Free
Latvia,88 Free
Belize,87 Free
Greece,86 Free
Argentina,85 Free
Antigua and Barbuda,85 Free
Mauritius,85 Free
Croatia,84 Free
Mongolia,84 Free
Monaco,84 Free
São Tomé and Príncipe,84 Free
Panama,83 Free
United States,83 Free
Samoa,83 Free
Romania,83 Free
South Korea,83 Free
Vanuatu,82 Free
Trinidad and Tobago,82 Free
Tonga,81 Free
Poland,81 Free
Ghana,80 Free
Jamaica,80 Free
Bulgaria,79 Free
Suriname,79 Free
South Africa,79 Free
Seychelles,79 Free
Namibia,77 Free
Nauru,77 Free
Israel,77 Free
Northern Cyprus*,76 Free
Solomon Islands,76 Free
Guyana,73 Free
Botswana,72 Free
Brazil,72 Free
Timor-Leste,72 Free
Colombia,70 Free
Ecuador,70 Free
Peru,70 Partly Free
Senegal,68 Partly Free
North Macedonia,68 Partly Free
Dominican Republic,68 Partly Free
Albania,67 Partly Free
Montenegro,67 Partly Free
Malawi,66 Partly Free
Hungary,66 Partly Free
India,66 Partly Free
Lesotho,66 Free
Bolivia,66 Partly Free
Paraguay,65 Partly Free
Sierra Leone,63 Partly Free
Moldova,62 Partly Free
Madagascar,61 Partly Free
Papua New Guinea,61 Partly Free
Bhutan,61 Partly Free
Liberia,60 Partly Free
Mexico,60 Partly Free
Kosovo,60 Partly Free
Serbia,60 Partly Free
Fiji,59 Partly Free
Benin,59 Partly Free
Georgia,58 Partly Free
Nepal,58 Partly Free
Indonesia,58 Partly Free
Philippines,58 Partly Free
El Salvador,56 Partly Free
Tunisia,56 Partly Free
Sri Lanka,54 Partly Free
Armenia,54 Partly Free
Zambia,54 Partly Free
Malaysia,53 Partly Free
Bosnia and Herzegovina,52 Partly Free
Kenya,52 Partly Free
Niger,51 Partly Free
Ukraine,50 Partly Free
Côte d'Ivoire,49 Partly Free
Guatemala,49 Partly Free
Honduras,48 Partly Free
The Gambia,48 Partly Free
Singapore,47 Partly Free
Mozambique,45 Partly Free
Somaliland*,44 Partly Free
Lebanon,43 Partly Free
Guinea-Bissau,43 Partly Free
Nigeria,43 Partly Free
Togo,42 Partly Free
Comoros,42 Partly Free
Hong Kong,42 Partly Free
Maldives,41 Partly Free
Bangladesh,40 Partly Free
Abkhazia,39 Partly Free
Nagorno-Karabakh,37 Partly Free
Pakistan,37 Partly Free
Morocco,37 Partly Free
Kuwait,37 Partly Free
Tanzania,36 Partly Free
Mauritania,36 Partly Free
Uganda,35 Not Free
Jordan,33 Not Free
Algeria,32 Not Free
Turkey,32 Not Free
Haiti,31 Not Free
Thailand,30 Not Free
Guinea,30 Not Free
Burkina Faso,30 Not Free
Iraq,29 Not Free
Pakistani Kashmir*,29 Not Free
Mali,29 Not Free
Angola,28 Not Free
Brunei,28 Not Free
Zimbabwe,28 Not Free
Indian Kashmir,27 Not Free
Kyrgyzstan,27 Not Free
Qatar,25 Not Free
Djibouti,24 Not Free
Cambodia,24 Not Free
Oman,24 Not Free
Kazakhstan,23 Not Free
Rwanda,23 Not Free
West Bank*,22 Not Free
Ethiopia,21 Not Free
Gabon,20 Not Free
Nicaragua,19 Not Free
Vietnam,19 Not Free
Democratic Republic of the Congo,19 Not Free
United Arab Emirates,18 Not Free
Egypt,18 Not Free
Transnistria,18 Not Free
Republic of the Congo,17 Not Free
Eswatini,17 Not Free
Russia,16 Not Free
Venezuela,15 Not Free
Chad,15 Not Free
Cameroon,15 Not Free
Burundi,14 Not Free
Laos,13 Not Free
South Ossetia*,12 Not Free
Iran,12 Not Free
Cuba,12 Not Free
Uzbekistan,12 Not Free
Bahrain,12 Not Free
Gaza Strip,11 Not Free
Libya,10 Not Free
Sudan,10 Not Free
China,9 Not Free
Yemen,9 Not Free
Azerbaijan,9 Not Free
Myanmar,9 Not Free
Belarus,8 Not Free
Somalia,8 Not Free
Saudi Arabia,8 Not Free
Afghanistan,8 Not Free
Central African Republic,7 Not Free
Tajikistan,7 Not Free
Equatorial Guinea,5 Not Free
Crimea,4 Not Free
Western Sahara,4 Not Free
Eritrea,3 Not Free
North Korea,3 Not Free
Eastern Donbas,3 Not Free
Turkmenistan,2 Not Free
Syria,1 Not Free
South Sudan,1 Not Free
Tibet,1 Not Free
