Country,GII
Denmark,0.013
Norway,0.016
Switzerland,0.018
Sweden,0.023
Netherlands,0.025
Finland,0.033
Singapore,0.040
Iceland,0.043
Luxembourg,0.044
Belgium,0.048
United Arab Emirates,0.049
Austria,0.053
Italy,0.056
Spain,0.057
South Korea,0.067
Portugal,0.067
Canada,0.069
Slovenia,0.071
Australia,0.073
Germany,0.073
Ireland,0.074
Japan,0.083
Israel,0.083
France,0.083
New Zealand,0.088
Croatia,0.093
United Kingdom,0.098
Estonia,0.100
Belarus,0.104
Lithuania,0.105
Poland,0.109
Greece,0.119
Montenegro,0.119
Czechia,0.120
Cyprus,0.123
Serbia,0.131
North Macedonia,0.134
Bosnia and Herzegovina,0.136
Albania,0.144
Latvia,0.151
Kazakhstan,0.161
Malta,0.167
Turkmenistan,0.177
United States,0.179
Slovakia,0.180
Bahrain,0.181
Chile,0.187
China,0.192
Ukraine,0.200
Russian Federation,0.203
Moldova,0.205
Bulgaria,0.210
Armenia,0.216
Qatar,0.220
Hungary,0.221
Uzbekistan,0.227
Malaysia,0.228
Uruguay,0.235
Saudi Arabia,0.247
Costa Rica,0.256
Brunei Darussalam,0.259
Tunisia,0.259
Libya,0.259
Barbados,0.268
Türkiye,0.272
Georgia,0.280
Romania,0.282
Tajikistan,0.285
Argentina,0.287
Azerbaijan,0.294
Viet Nam,0.296
Oman,0.300
Cuba,0.303
Kuwait,0.305
Mexico,0.309
Mongolia,0.313
Fiji,0.318
Bahamas,0.329
Thailand,0.333
Jamaica,0.335
Trinidad and Tobago,0.344
Mauritius,0.347
Maldives,0.348
Cabo Verde,0.349
Ecuador,0.362
Belize,0.364
Kyrgyzstan,0.370
El Salvador,0.376
Timor-Leste,0.378
Peru,0.380
Saint Lucia,0.381
Sri Lanka,0.383
Rwanda,0.388
Brazil,0.390
Saint Vincent and the Grenadines,0.390
Panama,0.392
South Africa,0.405
Bhutan,0.415
Samoa,0.418
Bolivia,0.418
Philippines,0.419
Colombia,0.424
Nicaragua,0.424
Morocco,0.425
Suriname,0.427
Dominican Republic,0.429
Honduras,0.431
Lebanon,0.432
Egypt,0.443
Indonesia,0.444
Paraguay,0.445
Namibia,0.445
Nepal,0.452
Guyana,0.454
Iran,0.459
Cambodia,0.461
Botswana,0.468
Jordan,0.471
Syrian Arab Republic,0.477
Laos,0.478
Guatemala,0.481
India,0.490
Venezuela,0.492
Sao Tome and Principe,0.494
Myanmar,0.498
Algeria,0.499
Burundi,0.505
Kenya,0.506
Ethiopia,0.520
Ghana,0.529
Bangladesh,0.530
Uganda,0.530
Senegal,0.530
Zimbabwe,0.532
Pakistan,0.534
Angola,0.537
Mozambique,0.537
Eswatini,0.540
Zambia,0.540
Gabon,0.541
Sudan,0.553
Malawi,0.554
Madagascar,0.556
Lesotho,0.557
Iraq,0.558
Tanzania,0.560
Congo,0.564
Cameroon,0.565
Togo,0.580
South Sudan,0.587
Democratic Republic of Congo,0.601
Benin,0.602
Gambia,0.611
Niger,0.611
Côte d'Ivoire,0.613
Mali,0.613
Guinea,0.621
Burkina Faso,0.621
Guinea-Bissau,0.627
Tonga,0.631
Mauritania,0.632
Sierra Leone,0.633
Haiti,0.635
Liberia,0.648
Chad,0.652
Central African Republic,0.672
Afghanistan,0.678
Nigeria,0.680
Papua New Guinea,0.725
Yemen,0.820
