country,totAll
United States,2980
United Kingdom,948
Germany,892
France,874
Italy,742
China,696
Sweden,661
Australia,562
Japan,555
Russia,547
Norway,528
Canada,525
Hungary,518
Finland,472
Netherlands,451
Switzerland,358
South Korea,357
Austria,326
Poland,320
Romania,309
Cuba,241
Bulgaria,230
Denmark,206
Spain,171
Belgium,161
Brazil,150
Ukraine,147
New Zealand,140
Greece,121
Kenya,113
Turkey,104
Belarus,103
Czech Republic,98
South Africa,89
Jamaica,87
Kazakhstan,80
Argentina,77
Iran,76
Mexico,73
Ethiopia,58
North Korea,56
Croatia,52
Azerbaijan,49
Slovenia,45
Estonia,43
Slovakia,40
Georgia,40
Egypt,38
Indonesia,37
Uzbekistan,37
India,35
Thailand,35
Ireland,35
Colombia,34
Mongolia,30
Latvia,30
Portugal,28
Nigeria,27
Lithuania,26
Morocco,24
Serbia,24
Venezuela,19
Trinidad and Tobago,19
Armenia,18
Algeria,17
Bahamas,16
Tunisia,15
Philippines,14
Malaysia,13
Chile,13
Israel,13
Dominican Republic,12
Uganda,11
Pakistan,10
Uruguay,10
Puerto Rico,10
Liechtenstein,10
Hong Kong,9
Zimbabwe,8
Qatar,8
Kyrgyzstan,7
Cameroon,6
Moldova,6
Vietnam,5
Ghana,5
Ecuador,5
Singapore,5
Namibia,5
Saudi Arabia,4
Peru,4
Ivory Coast,4
Syria,4
Tajikistan,4
Lebanon,4
Costa Rica,4
Bahrain,4
Luxembourg,4
Iceland,4
Jordan,3
Panama,3
Kuwait,3
Fiji,3
Grenada,3
San Marino,3
Tanzania,2
Afghanistan,2
Mozambique,2
Niger,2
Sri Lanka,2
Zambia,2
Burundi,2
Haiti,2
United Arab Emirates,2
Botswana,2
North Macedonia,2
Suriname,2
Bermuda,2
Sudan,1
Iraq,1
Burkina Faso,1
Guatemala,1
Senegal,1
Togo,1
Paraguay,1
Turkmenistan,1
Eritrea,1
Gabon,1
Mauritius,1
Cyprus,1
Djibouti,1
Guyana,1
Montenegro,1
Barbados,1
Samoa,1
Tonga,1
