Country,Total Score
Iceland,95 Free
Estonia,93 Free
Costa Rica,88 Free
Canada,87 Free
Taiwan,79 Free
United Kingdom,79 Free
Georgia,78 Free
Japan,77 Free
Germany,77 Free
Australia,76 Free
United States,76 Free
France,76 Free
Italy,75 Free
Armenia,74 Free
South Africa,73 Free
Serbia,72 Free
Argentina,71 Free
Hungary,69 Partly Free
Kenya,68 Partly Free
South Korea,67 Partly Free
Philippines,65 Partly Free
Brazil,65 Partly Free
Colombia,64 Partly Free
Ecuador,64 Partly Free
Ghana,64 Partly Free
Tunisia,61 Partly Free
Mexico,61 Partly Free
Angola,61 Partly Free
Ukraine,59 Partly Free
Malaysia,59 Partly Free
Zambia,58 Partly Free
Malawi,57 Partly Free
Nigeria,57 Partly Free
The Gambia,56 Partly Free
Singapore,54 Partly Free
Kyrgyzstan,53 Partly Free
Lebanon,51 Partly Free
India,51 Partly Free
Morocco,51 Partly Free
Uganda,50 Partly Free
Zimbabwe,49 Partly Free
Indonesia,49 Partly Free
Sri Lanka,48 Partly Free
Jordan,47 Partly Free
Nicaragua,45 Partly Free
Libya,44 Partly Free
Cambodia,43 Partly Free
Bangladesh,43 Partly Free
Iraq,42 Partly Free
Thailand,39 Not Free
Azerbaijan,38 Not Free
Rwanda,37 Not Free
Kazakhstan,32 Not Free
Turkey,32 Not Free
Venezuela,30 Not Free
Bahrain,29 Not Free
Sudan,29 Not Free
United Arab Emirates,28 Not Free
Belarus,28 Not Free
Uzbekistan,27 Not Free
Ethiopia,27 Not Free
Egypt,27 Not Free
Pakistan,26 Not Free
Saudi Arabia,24 Not Free
Russia,23 Not Free
Vietnam,22 Not Free
Cuba,20 Not Free
Iran,16 Not Free
Myanmar,12 Not Free
China,10 Not Free
