Country;Total E-Sports Earning;Average Broadband Internetspeed;Average mobile Internetspeed;Digital Competetiveness Index;Freedome House Index;Inverted Gender Inequality Index;Human Development Index;Internet Freedome Index;Nominal GDP;Total Olympic Medals;PPP GDP;PPP GDP per Capita;Population
China;252065214.35;287.28;179.74;86.42;9;0.808;0.768;10;19373586;696;33014998;23382;1409517397
United States;246211160.12;268.98;156.51;99.81;83;0.821;0.921;76;26854599;2980;26854599;80035;332915073
South Korea;131504996.55;249.31;246.21;95.20;83;0.933;0.925;67;1721909;357;2924038;56706;51305186
Russian Federation;72663033.68;122.46;39.69;;16;0.797;0.822;23;2062649;547;4988829;34837;145912025
Denmark;54985117.26;277.92;223.94;100.00;97;0.987;0.948;;405626;206;432489;73386;5813298
Brazil;51378534.27;183.03;137.65;56.14;72;0.61;0.754;65;2081235;150;4020381;18686;213993437
Sweden;51272126.64;208.01;186.44;99.81;100;0.977;0.947;;599052;661;712023;65842;10494660
France;48349950.79;295.64;138.35;81.42;89;0.917;0.903;76;2923489;874;3872729;58828;67081000
Germany;44354630.44;157.71;113.61;85.17;94;0.927;0.942;77;4308854;892;5545656;66132;83190556
Canada;41976540.99;254.48;138.86;94.15;98;0.931;0.936;87;2089672;525;2385124;60177;38048738
United Kingdom;39895273.47;162.68;92.98;86.45;93;0.902;0.929;79;3158938;948;3846931;56471;68207116
Ukraine;32519267.83;108.77;35.37;;50;0.8;0.773;59;148712;147;444194;13901;41349183
Finland;31299496.47;179.36;137.96;96.60;100;0.967;0.94;;301670;472;338004;60897;5543297
Japan;30570075.14;267.11;75.59;76.84;96;0.917;0.925;77;4409738;555;6456527;51809;125961625
Australia;27268806.31;97.61;161.46;87.89;95;0.927;0.951;76;1707548;562;1718097;65366;25741916
Thailand;25037838.99;265.53;82.36;68.19;30;0.667;0.8;39;574231;35;1591402;22675;69635580
Poland;24248347.52;203.86;65.97;63.09;81;0.891;0.876;;748887;320;1705282;45343;38372967
Taiwan;18845751.94;199.72;130.25;94.11;94;;;79;790728;0;1710399;73344;23773876
Philippines;18496447.53;149.37;60.07;52.81;58;0.581;0.699;65;440901;14;1289281;11420;116106009
Malaysia;18486400.13;149.17;137.13;76.42;53;0.772;0.803;59;447026;13;1230823;36847;33366419
Netherlands;15649963.84;224.03;122.35;97.85;97;0.975;0.941;;1080880;451;1290947;72973;17555425
Indonesia;15511541.30;39.47;32.26;56.74;58;0.556;0.705;49;1391778;37;4398729;15855;276361783
Vietnam;14369926.12;174.50;60.19;;19;0.704;0.703;22;449094;5;1450805;14458;98249355
Norway;11980517.65;197.10;217.30;93.23;100;0.984;0.961;;554105;528;452996;82655;5465630
Spain;11970055.91;262.32;94.68;77.40;90;0.943;0.905;;1492432;171;2363535;49448;47558210
Saudi Arabia;10590124.91;129.59;180.85;73.87;8;0.753;0.875;24;1061902;4;2300967;64836;35340683
Turkey;10007576.97;70.57;59.77;55.02;32;0.728;0.838;32;1029303;104;3572551;41412;85196517
Bulgaria;9635516.19;124.48;195.71;58.51;79;0.79;0.795;;100635;230;216267;32006;6916548
Jordan;8482057.30;138.61;39.50;56.04;33;0.529;0.72;47;52061;3;132960;12893;10613579
Argentina;8357324.69;122.96;36.91;50.22;85;0.713;0.842;71;641102;77;1274807;27261;45376763
Peru;7465873.36;123.88;29.41;52.06;70;0.62;0.762;;268235;4;556680;16132;33702704
Mexico;7281339.50;90.08;58.69;54.72;60;0.691;0.758;61;1663164;73;3125902;23820;130262216
Israel;6814632.13;240.76;72.33;87.37;77;0.917;0.919;;539223;13;533992;54997;9389440
Italy;6781241.64;158.69;85.75;68.33;90;0.944;0.895;75;2169745;742;3195548;54216;60367477
Singapore;6774211.89;314.09;157.47;99.48;47;0.96;0.939;54;515548;5;757726;133895;5896686
Estonia;6659155.11;114.92;134.06;85.06;94;0.9;0.89;93;41551;43;61757;46385;1324820
Pakistan;6223448.55;18.68;22.71;;37;0.466;0.544;26;;10;1582988;6836;225199937
Lebanon;5309272.94;22.88;40.57;;43;0.568;0.706;51;;4;;11377;6857789
Kazakhstan;5113363.38;77.53;74.34;73.03;23;0.839;0.811;32;245695;80;652597;32688;19126673
Czech Republic;5092149.75;131.34;79.43;75.54;92;0.88;0.889;;330483;98;536906;50961;10724555
Austria;5080213.76;139.34;105.17;85.35;93;0.947;0.916;;515199;326;630387;69502;9006398
Romania;4996138.88;275.01;89.58;58.32;83;0.718;0.821;;348902;309;783903;41634;19043767
India;4957466.76;81.91;166.08;63.93;66;0.51;0.633;51;3736882;35;13033443;9073;1393409038
