Country,GDP (PPP)
China,"33,014,998"
United States,"26,854,599"
India,"13,033,443"
Japan,"6,456,527"
Germany,"5,545,656"
Russia,"4,988,829"
Indonesia,"4,398,729"
Brazil,"4,020,381"
France,"3,872,729"
United Kingdom,"3,846,931"
Turkey,"3,572,551"
Italy,"3,195,548"
Mexico,"3,125,902"
South Korea,"2,924,038"
Canada,"2,385,124"
Spain,"2,363,535"
Saudi Arabia,"2,300,967"
Egypt,"1,803,584"
Australia,"1,718,097"
Taiwan,"1,710,399"
Poland,"1,705,282"
Iran,"1,691,819"
Thailand,"1,591,402"
Pakistan,"1,582,988"
Bangladesh,"1,475,164"
Vietnam,"1,450,805"
Nigeria,"1,372,624"
Netherlands,"1,290,947"
Philippines,"1,289,281"
Argentina,"1,274,807"
Malaysia,"1,230,823"
Colombia,"1,014,978"
South Africa,"990,030"
United Arab Emirates,"890,171"
Romania,"783,903"
Switzerland,"774,472"
Belgium,"766,025"
Singapore,"757,726"
Ireland,"752,831"
Sweden,"712,023"
Kazakhstan,"652,597"
Austria,"630,387"
Norway,"452,996"
Algeria,"620,971"
Chile,"595,599"
Ukraine,"444,194"
Iraq,"560,307"
Peru,"556,680"
Hong Kong,"544,735"
Czech Republic,"536,906"
Israel,"533,992"
Portugal,"460,130"
Denmark,"432,489"
Hungary,"426,941"
Greece,"418,113"
Ethiopia,"393,847"
Morocco,"387,233"
Uzbekistan,"371,346"
Kenya,"341,999"
Finland,"338,004"
Qatar,"326,731"
Sri Lanka,"321,979"
New Zealand,"278,904"
Myanmar,"278,156"
Dominican Republic,"277,741"
Angola,"265,631"
Kuwait,"259,640"
Ecuador,"246,745"
Ghana,"229,471"
Tanzania,"228,031"
Slovakia,"225,706"
Belarus,"217,040"
Bulgaria,"216,267"
Sudan,"214,159"
Venezuela,"213,054"
Ivory Coast,"204,119"
Oman,"201,531"
Guatemala,"201,360"
Azerbaijan,"193,478"
Panama,"178,900"
Serbia,"173,365"
Libya,"168,371"
Croatia,"163,356"
Tunisia,"162,358"
Nepal,"155,890"
DR Congo,"147,348"
Uganda,"145,247"
Costa Rica,"139,482"
Lithuania,"137,389"
Puerto Rico,"137,372"
Cuba,—
Cameroon,"133,455"
Jordan,"132,960"
Turkmenistan,"126,355"
Bolivia,"125,267"
Paraguay,"117,686"
Slovenia,"111,293"
Uruguay,"102,503"
Cambodia,"98,405"
Bahrain,"95,784"
Luxembourg,"93,618"
Zambia,"83,122"
Senegal,"81,998"
Afghanistan,—
Georgia,"80,611"
Latvia,"75,910"
Honduras,"75,715"
Laos,"74,309"
El Salvador,"74,057"
Lebanon,—
Yemen,"69,580"
Bosnia and Herzegovina,"67,908"
Burkina Faso,"63,808"
Macau,"63,471"
Mali,"62,007"
Estonia,"61,757"
Benin,"59,469"
Armenia,"57,740"
Madagascar,"57,044"
Albania,"54,392"
Tajikistan,"52,997"
Mozambique,"52,753"
Mongolia,"52,467"
Botswana,"52,214"
Nicaragua,"50,749"
Syria,—
Cyprus,"49,857"
Guinea,"48,401"
Guyana,"48,156"
Trinidad and Tobago,"45,556"
North Macedonia,"43,674"
Niger,"43,319"
Kyrgyzstan,"43,318"
Zimbabwe,"42,465"
Papua New Guinea,"42,183"
Moldova,"42,028"
Gabon,"41,992"
Rwanda,"41,887"
North Korea,—
Haiti,"39,719"
Malawi,"38,234"
Mauritius,"36,794"
Palestine,"36,643"
Jamaica,"35,395"
Brunei,"33,387"
Mauritania,"32,948"
Malta,"32,495"
Chad,"32,025"
Namibia,"30,249"
Equatorial Guinea,"28,583"
Kosovo,"27,658"
Iceland,"26,569"
Congo,"25,990"
Togo,"25,038"
Somalia,"22,054"
Sierra Leone,"17,658"
Bahamas,"17,479"
Montenegro,"17,282"
Maldives,"14,448"
Fiji,"14,386"
Eswatini,"13,371"
Burundi,"11,567"
Suriname,"11,508"
New Caledonia,—
Bhutan,"10,871"
Liberia,"9,712"
Eritrea,"8,155"
South Sudan,"7,743"
Monaco,—
Gambia,"7,413"
Djibouti,"7,098"
Lesotho,"6,950"
Isle of Man,—
Guinea-Bissau,"5,949"
Guam,—
Central African Republic,"5,768"
Andorra,"5,704"
Cape Verde,"5,574"
Jersey,—
French Polynesia,—
Barbados,"5,470"
Aruba,"5,449"
Bermuda,—
East Timor,"5,074"
Liechtenstein,—
Belize,"4,929"
Cayman Islands,—
Seychelles,"3,958"
U.S. Virgin Islands,—
Guernsey,—
Comoros,"3,431"
Saint Lucia,"3,399"
Curaçao,—
San Marino,"2,694"
Antigua and Barbuda,"2,454"
Greenland,—
Grenada,"2,297"
Gibraltar,—
Faroe Islands,—
Saint Vincent and the Grenadines,"1,975"
Solomon Islands,"1,785"
Saint Kitts and Nevis,"1,747"
Sint Maarten (Dutch part),—
Samoa,"1,280"
Northern Mariana Islands,—
São Tomé and Príncipe,"1,131"
Dominica,"1,055"
Vanuatu,"1,002"
Turks and Caicos Islands,—
Tonga,711
American Samoa,—
Saint Martin (French part),—
British Virgin Islands,—
Micronesia,413
Cook Islands,—
Kiribati,297
Palau,290
Marshall Islands,263
Saint Pierre and Miquelon,—
Falkland Islands,—
Anguilla,—
Montserrat,—
Nauru,145
Tuvalu,63
Wallis and Futuna,—
"Saint Helena, Ascension and Tristan da Cunha",—
Niue,—
Tokelau,—
