Country,GDP (PPP per Capita)
Ireland,"145,196"
Luxembourg,"142,490"
Liechtenstein,"139,100"
Singapore,"133,895"
Qatar,"124,834"
Monaco,"115,700"
Macau,"89,558"
United Arab Emirates,"88,221"
Bermuda,"80,300"
Switzerland,"87,963"
Isle of Man,"84,600"
Norway,"82,655"
United States,"80,035"
San Marino,"78,926"
Brunei,"75,583"
Hong Kong,"74,598"
Cayman Islands,—
Denmark,"73,386"
Taiwan,"73,344"
Netherlands,"72,973"
Falkland Islands,"70,800"
Iceland,"69,779"
Austria,"69,502"
Andorra,"68,998"
Germany,"66,132"
Sweden,"65,842"
Belgium,"65,501"
Australia,"65,366"
Saudi Arabia,"64,836"
Malta,"61,939"
Gibraltar,"61,700"
Finland,"60,897"
Guyana,"60,648"
Bahrain,"60,596"
Canada,"60,177"
France,"58,828"
European Union[n 1],"56,929"
South Korea,"56,706"
Jersey,"56,600"
United Kingdom,"56,471"
Israel,"54,997"
Cyprus,"54,611"
Italy,"54,216"
New Zealand,"54,046"
Kuwait,"53,037"
Slovenia,"52,641"
Guernsey,"52,500"
Japan,"51,809"
Czech Republic,"50,961"
Aruba,"49,627"
Spain,"49,448"
Lithuania,"49,266"
Estonia,"46,385"
Saint Pierre and Miquelon,"46,200"
Poland,"45,343"
Portugal,"44,707"
Bahamas,"43,913"
Hungary,"43,907"
Puerto Rico,"43,845"
Croatia,"42,531"
Oman,"42,188"
Greenland,"41,800"
Romania,"41,634"
Slovakia,"41,515"
Turkey,"41,412"
Latvia,"40,256"
Panama,"40,177"
Faroe Islands,"40,000"
Seychelles,"39,662"
Greece,"39,478"
U.S. Virgin Islands,"37,000"
Malaysia,"36,847"
Maldives,"36,358"
Sint Maarten (Dutch part),"35,300"
Guam,"35,600"
Russia,"34,837"
British Virgin Islands,"34,200"
Montserrat,"34,000"
Kazakhstan,"32,688"
Trinidad and Tobago,"32,054"
Bulgaria,"32,006"
New Caledonia,"31,100"
Saint Kitts and Nevis,"29,662"
Chile,"29,613"
Mauritius,"29,164"
Uruguay,"28,740"
Montenegro,"27,761"
Argentina,"27,261"
Costa Rica,"26,422"
Dominican Republic,"25,896"
Serbia,"25,432"
Libya,"24,599"
Northern Mariana Islands,"24,500"
Antigua and Barbuda,"24,012"
Mexico,"23,820"
Belarus,"23,447"
China,"23,382"
Curaçao,"20,800"
Thailand,"22,675"
Georgia,"21,922"
North Macedonia,"21,111"
Turks and Caicos Islands,—
Grenada,"20,075"
Turkmenistan,"19,974"
Bosnia and Herzegovina,"19,604"
Iran,"19,548"
Armenia,"19,489"
Colombia,"19,460"
Botswana,"19,398"
Saint Martin (French part),"19,300"
Gabon,"19,197"
Albania,"19,029"
Barbados,"18,858"
Brazil,"18,686"
Azerbaijan,"18,669"
Equatorial Guinea,"18,510"
Saint Lucia,"18,435"
Suriname,"18,427"
Saint Vincent and the Grenadines,"17,793"
French Polynesia,"17,000"
Egypt,"16,979"
Moldova,"16,840"
Cook Islands,"16,700"
Palau,"16,394"
Peru,"16,132"
South Africa,"16,091"
Indonesia,"15,855"
Fiji,"15,727"
Kosovo,"15,620"
Paraguay,"15,578"
Mongolia,"14,939"
Vietnam,"14,458"
Sri Lanka,"14,223"
Bhutan,"14,170"
Dominica,"14,161"
Ukraine,"13,901"
Ecuador,"13,513"
Algeria,"13,507"
Tunisia,"13,270"
Iraq,"12,927"
Jordan,"12,893"
Jamaica,"12,887"
Cuba,"12,300"
Anguilla,"12,200"
El Salvador,"11,647"
Eswatini,"11,492"
Namibia,"11,440"
Philippines,"11,420"
Lebanon,"11,377"
Nauru,"11,342"
American Samoa,"11,200"
Belize,"10,939"
Guatemala,"10,546"
Morocco,"10,460"
Bolivia,"10,327"
Uzbekistan,"10,308"
Laos,"9,801"
Cape Verde,"9,661"
India,"9,073"
Bangladesh,"8,663"
Venezuela,"8,028"
"Saint Helena, Ascension andTristan da Cunha","7,800"
Nicaragua,"7,601"
Mauritania,"7,437"
Honduras,"7,228"
Angola,"7,222"
Tonga,"7,125"
Ivory Coast,"7,011"
Ghana,"6,974"
Djibouti,"6,894"
Pakistan,"6,836"
Palestine,"6,688"
Kenya,"6,569"
Samoa,"6,324"
Kyrgyzstan,"6,250"
Nigeria,"6,178"
Cambodia,"6,092"
Tokelau,"6,004"
Niue,"5,800"
Tuvalu,"5,797"
Tajikistan,"5,293"
Congo,"5,155"
Myanmar,"5,132"
Nepal,"5,101"
São Tomé and Príncipe,"4,874"
Marshall Islands,"4,669"
Cameroon,"4,665"
Papua New Guinea,"4,516"
Senegal,"4,515"
Sudan,"4,471"
Benin,"4,300"
Zambia,"4,041"
Micronesia,"3,931"
Wallis and Futuna,"3,800"
Ethiopia,"3,724"
East Timor,"3,637"
Tanzania,"3,600"
Comoros,"3,463"
Lesotho,"3,251"
Haiti,"3,248"
Uganda,"3,224"
Guinea,"3,218"
Rwanda,"3,090"
Guinea-Bissau,"3,072"
Vanuatu,"3,001"
Syria,"6,374"
Gambia,"2,804"
Togo,"2,754"
Burkina Faso,"2,726"
Mali,"2,656"
Zimbabwe,"2,627"
Afghanistan,"2,456"
Solomon Islands,"2,414"
Kiribati,"2,381"
Eritrea,"2,188"
Sierra Leone,"2,082"
Yemen,"2,042"
Madagascar,"1,916"
Liberia,"1,788"
Chad,"1,787"
North Korea,"1,700"
Malawi,"1,682"
Niger,"1,600"
Mozambique,"1,556"
DR Congo,"1,474"
Somalia,"1,374"
Central African Republic,"1,127"
Burundi,891
South Sudan,516
