Country,BattleRoyale
United States,5.833333333333333
Australia,7.0
Russian Federation,7.0
Brazil,7.6
"Korea, Republic of",7.666666666666667
Denmark,8.75
Canada,8.8
Japan,9.0
United Kingdom,9.88888888888889
China,10.8
"Taiwan, Republic of China",12.25
Norway,12.333333333333334
Germany,15.0
France,15.125
Finland,16.0
Indonesia,17.0
Argentina,17.6
Sweden,17.875
Turkey,18.857142857142858
Thailand,20.0
Viet Nam,21.5
Mexico,22.428571428571427
Ukraine,22.833333333333332
Saudi Arabia,24.333333333333332
Bangladesh,27.5
Philippines,28.5
Morocco,29.0
Poland,30.2
Spain,30.5
Portugal,30.714285714285715
Netherlands,31.75
Chile,32.0
Malaysia,32.0
Croatia,32.666666666666664
Gibraltar,33.0
Belgium,33.857142857142854
Pakistan,34.0
Bahrain,34.0
Iraq,35.5
Syrian Arab Republic,35.666666666666664
New Zealand,36.25
Ireland,36.8
Belarus,37.4
Dominican Republic,37.666666666666664
Algeria,38.0
Kuwait,38.5
India,39.0
Italy,39.25
Colombia,40.6
Mongolia,41.0
Honduras,41.0
Czech Republic,41.4
Kyrgyzstan,42.0
Bosnia and Herzegovina,42.2
Lithuania,42.75
Venezuela,43.714285714285715
Switzerland,43.75
Nepal,44.0
Serbia,44.25
United Arab Emirates,45.0
Egypt,45.0
Greece,45.5
Slovenia,45.666666666666664
Singapore,45.8
Austria,46.0
Uruguay,46.0
Romania,46.75
Kazakhstan,47.2
Jordan,47.75
Libyan Arab Jamahiriya,48.0
Hong Kong,49.2
Nicaragua,50.5
Macao,51.0
Cuba,51.333333333333336
Lebanon,52.333333333333336
Afghanistan,53.0
Georgia,53.5
Puerto Rico,53.8
Slovakia,54.333333333333336
Estonia,54.5
Myanmar,54.5
Israel,55.333333333333336
Peru,55.4
Hungary,56.0
Cambodia,56.5
Paraguay,57.75
Albania,58.0
Latvia,58.25
Cyprus,59.0
"Palestine, State of",59.5
Oman,61.5
Tunisia,62.0
Iceland,62.0
Nigeria,62.0
Costa Rica,64.0
Uzbekistan,64.0
South Africa,64.66666666666667
Malta,66.0
"Kosovo, Republic of",66.0
Aruba,67.0
"Moldova, Republic of",67.75
Qatar,68.0
Bolivia,68.0
Yemen,68.33333333333333
Azerbaijan,70.5
Guatemala,70.5
Greenland,72.0
Panama,72.33333333333333
Ecuador,73.0
Brunei Darussalam,73.5
Bulgaria,74.25
"Iran, Islamic Republic of",76.5
Guyana,79.0
--UNDEFINED--,79.5
Fiji,82.0
Sudan,82.0
Luxembourg,83.0
Zimbabwe,86.0
North Macedonia,87.0
Jamaica,89.33333333333333
Senegal,91.0
Tajikistan,91.0
Trinidad and Tobago,95.0
Armenia,95.0
Lao People's Democratic Republic,96.0
Mozambique,98.0
Gabon,99.0
Sri Lanka,99.0
Tuvalu,100.0
El Salvador,102.0
Angola,103.0
Mauritius,104.0
Belize,108.0
