Country,FightingGame
United States,1.341317365269461
Japan,2.5268817204301075
United Kingdom,4.862068965517241
Canada,5.204081632653061
Croatia,5.5
France,6.1
Azerbaijan,7.0
Germany,7.628571428571429
"Korea, Republic of",7.823529411764706
Brazil,8.5
Kazakhstan,8.5
China,8.533333333333333
Ukraine,9.0
Pakistan,9.444444444444445
Nicaragua,9.5
Sweden,9.764705882352942
Mexico,9.916666666666666
Australia,10.135135135135135
Puerto Rico,10.264705882352942
Spain,11.407407407407407
Trinidad and Tobago,11.5
Singapore,11.608695652173912
Netherlands,11.8
Austria,12.1
Norway,12.222222222222221
Armenia,13.0
"Taiwan, Republic of China",13.217391304347826
Dominican Republic,13.294117647058824
Italy,13.947368421052632
Chile,14.142857142857142
Finland,14.454545454545455
Costa Rica,14.727272727272727
Viet Nam,15.076923076923077
Russian Federation,15.631578947368421
Bahrain,15.714285714285714
Hong Kong,15.909090909090908
Zambia,16.5
Argentina,16.733333333333334
Greece,16.88888888888889
Bolivia,17.0
Saudi Arabia,17.214285714285715
United Arab Emirates,18.0
Poland,19.166666666666668
Philippines,19.2
Peru,19.333333333333332
Denmark,19.444444444444443
Switzerland,19.75
Morocco,19.857142857142858
Portugal,20.0
Malaysia,20.0
Aruba,20.0
Belgium,21.25
India,21.285714285714285
Thailand,21.416666666666668
Oman,22.0
Ireland,22.09090909090909
Luxembourg,22.75
New Zealand,22.77777777777778
Israel,23.333333333333332
Bulgaria,23.666666666666668
Romania,23.75
Senegal,24.0
Bangladesh,25.0
Algeria,25.0
"Palestine, State of",25.0
Czech Republic,25.25
Georgia,25.333333333333332
Qatar,25.5
Ecuador,26.0
Panama,26.375
Kuwait,26.4
Lebanon,26.666666666666668
Indonesia,27.375
South Africa,28.0
Guatemala,28.333333333333332
Jordan,29.0
Côte D'Ivoire,29.666666666666668
Turkey,29.75
Serbia,31.0
Uzbekistan,31.0
Colombia,31.142857142857142
Madagascar,32.0
Venezuela,32.5
Paraguay,34.0
Honduras,35.5
French Polynesia,38.0
Tunisia,39.5
--UNDEFINED--,40.0
Sri Lanka,40.0
Lithuania,41.0
Hungary,42.0
Slovakia,42.0
Andorra,42.0
Togo,42.0
Egypt,44.5
Malta,45.5
Jamaica,47.0
Iraq,48.0
Albania,52.0
Kenya,55.0
"Kosovo, Republic of",56.0
Yemen,57.0
Uruguay,57.333333333333336
United States Minor Outlying Islands,58.0
Cambodia,58.0
Macao,59.0
Belarus,59.0
Maldives,60.0
