Country,Music
United States,1.4
"Korea, Republic of",2.0
Germany,3.0
Poland,3.0
China,3.5
France,4.0
Brazil,4.666666666666667
United Kingdom,5.0
Canada,6.0
Australia,6.0
Japan,8.0
Sweden,9.0
Chile,12.0
Peru,13.0
Netherlands,13.5
Switzerland,15.0
Russian Federation,16.0
Finland,16.5
Indonesia,17.0
Romania,18.0
Denmark,18.5
Hong Kong,19.0
"Taiwan, Republic of China",20.0
Philippines,21.0
Malaysia,23.0
Latvia,24.0
Italy,25.0
Spain,26.0
Norway,28.0
Israel,29.0
Lithuania,31.0
Portugal,32.0
Turkey,33.0
Ireland,34.0
Estonia,35.0
Morocco,36.0
Guatemala,37.0
Honduras,38.0
Viet Nam,39.0
Belgium,40.0
Thailand,41.0
Tunisia,42.0
Argentina,43.0
Egypt,44.0
Uruguay,45.0
New Zealand,46.0
Czech Republic,47.0
Bahrain,48.0
Hungary,49.0
Singapore,50.0
Greece,51.0
Jersey,52.0
Ukraine,53.0
Bangladesh,54.0
