Country,Sports
Germany,2.7948717948717947
United States,2.9347826086956523
"Taiwan, Republic of China",4.0
United Kingdom,4.068965517241379
France,4.764705882352941
Brazil,5.2727272727272725
Spain,5.615384615384615
Saudi Arabia,6.909090909090909
Denmark,7.076923076923077
Puerto Rico,7.5
Viet Nam,7.833333333333333
Netherlands,8.166666666666666
Sweden,8.4
Canada,8.409090909090908
Greece,9.0
Italy,9.2
Australia,10.411764705882353
Argentina,10.692307692307692
Portugal,11.066666666666666
China,11.416666666666666
"Iran, Islamic Republic of",11.428571428571429
Japan,13.214285714285714
Mexico,13.466666666666667
Poland,13.666666666666666
Finland,13.6875
Romania,15.153846153846153
"Korea, Republic of",15.2
Armenia,16.0
Indonesia,16.692307692307693
Russian Federation,17.38888888888889
Jordan,17.5
Belgium,18.25
Malaysia,18.266666666666666
Thailand,18.625
Austria,19.454545454545453
Singapore,19.5
South Africa,19.555555555555557
Bulgaria,19.916666666666668
Tunisia,20.0
Turkey,21.23076923076923
Israel,21.375
New Zealand,21.5
Hungary,21.625
Peru,23.0
Malta,23.416666666666668
Kazakhstan,23.625
Chile,23.666666666666668
Ireland,23.714285714285715
Ukraine,23.857142857142858
Maldives,24.0
Norway,25.0
United Arab Emirates,25.25
Switzerland,25.833333333333332
Colombia,25.9
India,26.333333333333332
Senegal,26.4
Ghana,28.0
Morocco,28.666666666666668
Uzbekistan,30.0
Egypt,30.4
Hong Kong,30.444444444444443
Iceland,32.0
Czech Republic,32.5
Croatia,34.833333333333336
Venezuela,35.333333333333336
Estonia,36.0
Slovakia,36.4
Kuwait,36.5
Jersey,38.0
Latvia,39.0
Bahrain,39.0
Qatar,39.333333333333336
Mauritius,40.0
Dominican Republic,40.0
Yemen,40.0
Serbia,40.5
Panama,41.75
Lithuania,42.0
Honduras,44.0
Philippines,44.0
Uruguay,44.666666666666664
Slovenia,47.333333333333336
Guernsey,48.0
Luxembourg,48.333333333333336
Brunei Darussalam,53.0
Ecuador,53.333333333333336
Oman,55.0
"Palestine, State of",55.0
Reunion,58.0
Costa Rica,59.5
Albania,60.0
Bangladesh,62.0
Monaco,65.0
Mozambique,72.0
Bolivia,77.0
