Country,Strategy
United States,3.688888888888889
"Korea, Republic of",5.105263157894737
China,5.260869565217392
Germany,6.314285714285714
Azerbaijan,7.0
Russian Federation,8.04
France,8.78125
Canada,9.885714285714286
United Kingdom,10.297297297297296
Uzbekistan,11.0
Jordan,11.0
Poland,12.916666666666666
Spain,13.0
Japan,14.08695652173913
Brazil,14.538461538461538
Netherlands,14.642857142857142
Turkmenistan,15.0
Sweden,15.24
India,16.285714285714285
Viet Nam,17.23076923076923
Peru,17.80952380952381
Norway,18.15
"Taiwan, Republic of China",18.785714285714285
Australia,19.285714285714285
Finland,19.428571428571427
Italy,20.0
Ukraine,20.05
Denmark,20.933333333333334
Nepal,21.0
Mexico,21.176470588235293
Armenia,21.428571428571427
Argentina,21.894736842105264
Aruba,22.0
Qatar,22.0
Singapore,22.3
Côte D'Ivoire,23.0
Austria,23.133333333333333
Egypt,23.714285714285715
Chile,24.307692307692307
Turkey,24.6875
Kazakhstan,24.916666666666668
--UNDEFINED--,25.0
Georgia,25.0
Czech Republic,25.105263157894736
Thailand,25.285714285714285
Hungary,25.4
Cuba,25.8
Belgium,26.142857142857142
Portugal,26.214285714285715
Puerto Rico,26.5
Greece,26.529411764705884
Belarus,26.692307692307693
Serbia,26.75
"Iran, Islamic Republic of",26.833333333333332
Romania,28.0
Croatia,28.071428571428573
Slovenia,28.333333333333332
Switzerland,28.625
Hong Kong,28.846153846153847
Bulgaria,28.857142857142858
North Macedonia,29.0
Latvia,29.142857142857142
Tunisia,29.5
Philippines,29.875
Ireland,31.5
United Arab Emirates,31.77777777777778
Zimbabwe,32.0
Indonesia,32.0
Israel,32.1
Malaysia,32.81818181818182
Colombia,33.72727272727273
Lithuania,33.75
Kuwait,34.0
"Moldova, Republic of",35.0
Pakistan,35.333333333333336
El Salvador,36.666666666666664
Venezuela,37.5
Bolivia,37.857142857142854
Kyrgyzstan,39.0
Honduras,39.5
New Zealand,39.888888888888886
Bangladesh,40.0
Saint Kitts and Nevis,40.0
Slovakia,40.125
Uganda,41.0
South Africa,41.5
Saudi Arabia,42.0
Panama,42.0
Guatemala,43.0
Monaco,43.0
Costa Rica,43.4
Dominican Republic,43.75
Ecuador,44.0
Mongolia,44.0
Iraq,44.333333333333336
Bosnia and Herzegovina,44.666666666666664
Estonia,45.4
Morocco,45.5
Uruguay,45.75
Paraguay,46.333333333333336
Iceland,47.0
Mozambique,47.0
Brunei Darussalam,51.5
Bahrain,52.0
Algeria,52.666666666666664
Lebanon,53.0
Libyan Arab Jamahiriya,53.0
Syrian Arab Republic,54.5
Nicaragua,56.0
Sri Lanka,56.666666666666664
Malta,57.0
Myanmar,57.0
Lao People's Democratic Republic,59.0
Albania,60.333333333333336
Åland Islands,61.0
Andorra,62.0
Luxembourg,63.666666666666664
Montenegro,70.0
Macao,74.0
Jamaica,74.0
