rank,country,earning,players,tournaments
Fall Guys,1.,United States,"$216,722.70",233 Players
Fall Guys,2.,Canada,"$48,906.11",31 Players
Fall Guys,3.,Hong Kong,"$12,697.51",1 Player
Fall Guys,4.,Morocco,"$10,947.51",1 Player
Fall Guys,5.,United Kingdom,"$6,875.00",7 Players
Fall Guys,6.,Mexico,"$2,375.00",1 Player
Fall Guys,7.,Philippines,"$2,250.00",1 Player
Fall Guys,8.,Norway,"$1,375.00",1 Player
Fall Guys,9.,Sweden,"$1,125.00",1 Player
Fall Guys,10.,Belgium,"$1,000.00",1 Player
Fall Guys,11.,Ireland,$625.00,1 Player
Fall Guys,12.,Portugal,$625.00,1 Player
Fall Guys,13.,Venezuela,$625.00,1 Player
Fall Guys,14.,Egypt,$500.00,1 Player
Fall Guys,15.,France,$500.00,1 Player
Fall Guys,16.,Greece,$375.00,1 Player
Fall Guys,17.,New Zealand,$375.00,1 Player
Fall Guys,18.,Turkey,$375.00,1 Player
