rank,country,earning,players,tournaments
Fortnite,1.,United States,"$46,080,980.28",2672 Players
Fortnite,2.,United Kingdom,"$7,714,833.67",485 Players
Fortnite,3.,France,"$7,153,790.97",705 Players
Fortnite,4.,Denmark,"$6,566,948.92",269 Players
Fortnite,5.,Canada,"$6,224,697.00",235 Players
Fortnite,6.,Brazil,"$5,422,516.39",460 Players
Fortnite,7.,Germany,"$4,822,887.06",449 Players
Fortnite,8.,Poland,"$4,298,328.11",261 Players
Fortnite,9.,Sweden,"$4,223,438.73",262 Players
Fortnite,10.,Russian Federation,"$3,433,868.40",252 Players
Fortnite,11.,Australia,"$3,421,665.55",578 Players
Fortnite,12.,Netherlands,"$3,315,453.29",172 Players
Fortnite,13.,Austria,"$3,229,229.15",38 Players
Fortnite,14.,Norway,"$3,174,346.54",140 Players
Fortnite,15.,Japan,"$2,799,105.06",512 Players
Fortnite,16.,Argentina,"$2,457,602.03",156 Players
Fortnite,17.,Switzerland,"$1,679,860.88",66 Players
Fortnite,18.,Saudi Arabia,"$1,601,761.66",186 Players
Fortnite,19.,Slovenia,"$1,586,535.59",34 Players
Fortnite,20.,Serbia,"$1,246,143.41",21 Players
Fortnite,21.,"Korea, Republic of","$1,015,885.20",95 Players
Fortnite,22.,Mexico,"$988,384.48",97 Players
Fortnite,23.,Spain,"$941,893.89",218 Players
Fortnite,24.,Belgium,"$897,471.73",56 Players
Fortnite,25.,Finland,"$716,483.00",94 Players
Fortnite,26.,Latvia,"$703,990.63",7 Players
Fortnite,27.,New Zealand,"$680,424.80",49 Players
Fortnite,28.,Italy,"$580,785.27",130 Players
Fortnite,29.,Turkey,"$557,848.24",56 Players
Fortnite,30.,Ukraine,"$553,835.24",66 Players
Fortnite,31.,China,"$483,966.44",104 Players
Fortnite,32.,Romania,"$327,466.45",24 Players
Fortnite,33.,Czech Republic,"$283,203.90",52 Players
Fortnite,34.,Bahrain,"$257,725.00",23 Players
Fortnite,35.,Ireland,"$235,695.98",49 Players
Fortnite,36.,Belarus,"$222,948.74",9 Players
Fortnite,37.,Portugal,"$193,644.37",34 Players
Fortnite,38.,Lithuania,"$192,156.26",13 Players
Fortnite,39.,Croatia,"$166,556.00",7 Players
Fortnite,40.,United Arab Emirates,"$156,147.42",45 Players
Fortnite,41.,Indonesia,"$148,500.00",27 Players
Fortnite,42.,Cuba,"$131,905.00",2 Players
Fortnite,43.,Dominican Republic,"$124,236.11",8 Players
Fortnite,44.,Bosnia and Herzegovina,"$115,356.59",3 Players
Fortnite,45.,Pakistan,"$111,330.00",22 Players
Fortnite,46.,Israel,"$104,550.00",23 Players
Fortnite,47.,Kuwait,"$101,475.00",16 Players
Fortnite,48.,Estonia,"$93,308.00",14 Players
Fortnite,49.,Colombia,"$79,115.70",9 Players
Fortnite,50.,Philippines,"$78,676.40",12 Players
Fortnite,51.,Lebanon,"$68,752.44",7 Players
Fortnite,52.,Singapore,"$66,385.00",20 Players
Fortnite,53.,Oman,"$66,200.00",11 Players
Fortnite,54.,Greece,"$65,175.00",13 Players
Fortnite,55.,Hungary,"$58,000.00",11 Players
Fortnite,56.,Slovakia,"$56,240.00",9 Players
Fortnite,57.,Panama,"$52,310.00",2 Players
Fortnite,58.,Syrian Arab Republic,"$51,835.00",13 Players
Fortnite,59.,Chile,"$51,175.00",43 Players
Fortnite,60.,Luxembourg,"$39,333.20",2 Players
Fortnite,61.,Viet Nam,"$33,975.00",7 Players
Fortnite,62.,Peru,"$33,684.11",13 Players
Fortnite,63.,Jordan,"$33,675.00",14 Players
Fortnite,64.,"Palestine, State of","$29,035.00",8 Players
Fortnite,65.,Iraq,"$27,785.00",2 Players
Fortnite,66.,Iceland,"$27,580.00",10 Players
Fortnite,67.,Puerto Rico,"$24,650.00",6 Players
Fortnite,68.,Egypt,"$20,675.00",12 Players
Fortnite,69.,Malaysia,"$19,675.00",9 Players
Fortnite,70.,Costa Rica,"$17,625.00",3 Players
Fortnite,71.,Qatar,"$15,825.00",19 Players
Fortnite,72.,Greenland,"$15,325.00",2 Players
Fortnite,73.,Algeria,"$15,225.00",2 Players
Fortnite,74.,Malta,"$14,728.19",32 Players
Fortnite,75.,Morocco,"$14,425.00",6 Players
Fortnite,76.,Albania,"$13,570.00",2 Players
Fortnite,77.,India,"$13,260.00",8 Players
Fortnite,78.,"Kosovo, Republic of","$12,399.45",1 Player
Fortnite,79.,Yemen,"$10,350.00",1 Player
Fortnite,80.,Thailand,"$9,430.41",8 Players
