rank,country,earning,players,tournaments
H1Z1,1.,United States,"$1,255,333.44",100 Players
H1Z1,2.,United Kingdom,"$165,362.20",6 Players
H1Z1,3.,"Korea, Republic of","$68,000.00",6 Players
H1Z1,4.,Poland,"$45,000.00",1 Player
H1Z1,5.,Norway,"$41,000.00",3 Players
H1Z1,6.,Czech Republic,"$40,086.60",1 Player
H1Z1,7.,France,"$37,000.00",8 Players
H1Z1,8.,Sweden,"$36,089.76",5 Players
H1Z1,9.,Finland,"$22,000.00",3 Players
H1Z1,10.,Turkey,"$20,000.00",1 Player
H1Z1,11.,Canada,"$12,650.00",2 Players
H1Z1,12.,Germany,"$12,000.00",1 Player
H1Z1,13.,Belgium,"$5,000.00",1 Player
