rank,country,earning,players,tournaments
PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,1.,China,"$28,339,063.03",308 Players
PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,2.,Japan,"$4,930,700.58",126 Players
PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,3.,Thailand,"$4,037,080.89",168 Players
PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,4.,Turkey,"$3,230,239.33",169 Players
PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,5.,Indonesia,"$2,557,990.77",289 Players
PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,6.,Brazil,"$2,438,797.15",160 Players
PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,7.,India,"$2,385,884.70",264 Players
PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,8.,"Taiwan, Republic of China","$2,341,554.35",41 Players
PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,9.,Russian Federation,"$1,897,208.95",88 Players
PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,10.,"Korea, Republic of","$1,851,529.47",76 Players
PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,11.,Malaysia,"$1,664,131.69",198 Players
PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,12.,Mongolia,"$1,539,496.21",52 Players
PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,13.,Nepal,"$1,530,319.14",119 Players
PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,14.,Viet Nam,"$1,382,426.61",242 Players
PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,15.,Saudi Arabia,"$1,289,836.27",83 Players
PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,16.,Iraq,"$1,119,874.02",78 Players
PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,17.,United States,"$972,738.79",129 Players
PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,18.,Kazakhstan,"$459,308.68",28 Players
PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,19.,Mexico,"$456,749.15",76 Players
PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,20.,Chile,"$345,806.24",43 Players
PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,21.,Pakistan,"$337,705.42",116 Players
PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,22.,Syrian Arab Republic,"$276,453.26",12 Players
PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,23.,Morocco,"$269,879.10",29 Players
PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,24.,Argentina,"$234,976.33",37 Players
