rank,country,earning,players,tournaments
PLAYERUNKNOWN’S BATTLEGROUNDS,1.,China,"$13,590,946.41",538 Players
PLAYERUNKNOWN’S BATTLEGROUNDS,2.,"Korea, Republic of","$10,223,488.55",408 Players
PLAYERUNKNOWN’S BATTLEGROUNDS,3.,United States,"$5,598,688.63",362 Players
PLAYERUNKNOWN’S BATTLEGROUNDS,4.,Russian Federation,"$3,381,755.13",124 Players
PLAYERUNKNOWN’S BATTLEGROUNDS,5.,Finland,"$2,102,605.70",70 Players
PLAYERUNKNOWN’S BATTLEGROUNDS,6.,Thailand,"$2,092,695.91",225 Players
PLAYERUNKNOWN’S BATTLEGROUNDS,7.,Viet Nam,"$1,551,335.99",220 Players
PLAYERUNKNOWN’S BATTLEGROUNDS,8.,Australia,"$1,494,990.94",103 Players
PLAYERUNKNOWN’S BATTLEGROUNDS,9.,Canada,"$1,078,627.03",34 Players
PLAYERUNKNOWN’S BATTLEGROUNDS,10.,United Kingdom,"$938,498.09",45 Players
PLAYERUNKNOWN’S BATTLEGROUNDS,11.,Norway,"$926,991.40",50 Players
PLAYERUNKNOWN’S BATTLEGROUNDS,12.,Turkey,"$915,820.04",88 Players
PLAYERUNKNOWN’S BATTLEGROUNDS,13.,Denmark,"$842,890.15",49 Players
PLAYERUNKNOWN’S BATTLEGROUNDS,14.,"Taiwan, Republic of China","$762,813.72",139 Players
PLAYERUNKNOWN’S BATTLEGROUNDS,15.,Sweden,"$694,796.92",59 Players
PLAYERUNKNOWN’S BATTLEGROUNDS,16.,Japan,"$685,014.75",166 Players
PLAYERUNKNOWN’S BATTLEGROUNDS,17.,Brazil,"$677,876.89",159 Players
PLAYERUNKNOWN’S BATTLEGROUNDS,18.,Ukraine,"$655,042.40",19 Players
PLAYERUNKNOWN’S BATTLEGROUNDS,19.,Germany,"$470,970.33",119 Players
PLAYERUNKNOWN’S BATTLEGROUNDS,20.,Argentina,"$455,465.42",30 Players
PLAYERUNKNOWN’S BATTLEGROUNDS,21.,Philippines,"$401,430.13",62 Players
PLAYERUNKNOWN’S BATTLEGROUNDS,22.,France,"$376,830.49",70 Players
PLAYERUNKNOWN’S BATTLEGROUNDS,23.,Netherlands,"$353,931.75",14 Players
PLAYERUNKNOWN’S BATTLEGROUNDS,24.,Georgia,"$331,771.60",1 Player
PLAYERUNKNOWN’S BATTLEGROUNDS,25.,Indonesia,"$272,609.29",65 Players
PLAYERUNKNOWN’S BATTLEGROUNDS,26.,Czech Republic,"$183,994.44",93 Players
PLAYERUNKNOWN’S BATTLEGROUNDS,27.,Hong Kong,"$167,698.41",33 Players
PLAYERUNKNOWN’S BATTLEGROUNDS,28.,Ireland,"$153,314.01",1 Player
PLAYERUNKNOWN’S BATTLEGROUNDS,29.,Poland,"$150,091.25",17 Players
PLAYERUNKNOWN’S BATTLEGROUNDS,30.,Uruguay,"$139,649.65",3 Players
PLAYERUNKNOWN’S BATTLEGROUNDS,31.,Cuba,"$134,429.24",3 Players
PLAYERUNKNOWN’S BATTLEGROUNDS,32.,Spain,"$128,010.34",20 Players
PLAYERUNKNOWN’S BATTLEGROUNDS,33.,Gibraltar,"$126,204.51",1 Player
PLAYERUNKNOWN’S BATTLEGROUNDS,34.,Lithuania,"$123,915.52",4 Players
PLAYERUNKNOWN’S BATTLEGROUNDS,35.,Croatia,"$112,051.06",12 Players
PLAYERUNKNOWN’S BATTLEGROUNDS,36.,Kazakhstan,"$108,747.47",9 Players
PLAYERUNKNOWN’S BATTLEGROUNDS,37.,Belgium,"$104,135.87",8 Players
PLAYERUNKNOWN’S BATTLEGROUNDS,38.,Serbia,"$103,180.00",4 Players
PLAYERUNKNOWN’S BATTLEGROUNDS,39.,Malaysia,"$98,555.13",66 Players
PLAYERUNKNOWN’S BATTLEGROUNDS,40.,New Zealand,"$95,901.83",15 Players
PLAYERUNKNOWN’S BATTLEGROUNDS,41.,Chile,"$59,046.91",13 Players
PLAYERUNKNOWN’S BATTLEGROUNDS,42.,Albania,"$44,105.94",1 Player
PLAYERUNKNOWN’S BATTLEGROUNDS,43.,Italy,"$42,457.54",11 Players
PLAYERUNKNOWN’S BATTLEGROUNDS,44.,Venezuela,"$41,773.94",2 Players
PLAYERUNKNOWN’S BATTLEGROUNDS,45.,Austria,"$39,552.04",10 Players
PLAYERUNKNOWN’S BATTLEGROUNDS,46.,Tunisia,"$37,686.25",1 Player
PLAYERUNKNOWN’S BATTLEGROUNDS,47.,Puerto Rico,"$29,718.44",1 Player
PLAYERUNKNOWN’S BATTLEGROUNDS,48.,Portugal,"$25,198.19",7 Players
