rank,country,earning,players,tournaments
Battlerite,1.,United States,"$22,655.00",26 Players
Battlerite,2.,Sweden,"$10,810.96",8 Players
Battlerite,3.,Brazil,"$4,800.00",6 Players
Battlerite,4.,Finland,"$3,493.37",7 Players
Battlerite,5.,Denmark,"$3,101.05",3 Players
Battlerite,6.,"Korea, Republic of","$3,000.00",6 Players
Battlerite,7.,Germany,"$2,682.40",5 Players
Battlerite,8.,Russian Federation,"$2,159.38",6 Players
Battlerite,9.,Slovakia,"$2,012.15",1 Player
Battlerite,10.,"Kosovo, Republic of","$1,654.62",1 Player
Battlerite,11.,Spain,"$1,609.72",1 Player
Battlerite,12.,Netherlands,"$1,598.91",3 Players
Battlerite,13.,United Kingdom,"$1,386.83",2 Players
Battlerite,14.,Norway,$912.20,4 Players
Battlerite,15.,Serbia,$851.38,1 Player
Battlerite,16.,Estonia,$593.01,2 Players
Battlerite,17.,Bulgaria,$330.36,1 Player
Battlerite,18.,Canada,$175.00,2 Players
Battlerite,19.,Belgium,$100.00,1 Player
Battlerite,20.,France,$54.50,2 Players
Battlerite,21.,Poland,$33.33,1 Player
