rank,country,earning,players,tournaments
Defense of the Ancients,1.,China,"$454,766.87",81 Players
Defense of the Ancients,2.,Russian Federation,"$52,678.88",22 Players
Defense of the Ancients,3.,Malaysia,"$43,991.85",28 Players
Defense of the Ancients,4.,Kazakhstan,"$43,830.58",173 Players
Defense of the Ancients,5.,Philippines,"$41,261.10",28 Players
Defense of the Ancients,6.,Sweden,"$23,049.56",20 Players
Defense of the Ancients,7.,Denmark,"$20,440.53",12 Players
Defense of the Ancients,8.,Singapore,"$19,458.38",16 Players
Defense of the Ancients,9.,Ukraine,"$14,202.93",13 Players
Defense of the Ancients,10.,Kyrgyzstan,"$11,281.99",8 Players
Defense of the Ancients,11.,United States,"$11,045.35",14 Players
Defense of the Ancients,12.,Macao,"$8,127.10",1 Player
Defense of the Ancients,13.,Germany,"$6,802.56",3 Players
Defense of the Ancients,14.,Romania,"$5,000.00",5 Players
Defense of the Ancients,15.,Norway,"$4,804.83",13 Players
Defense of the Ancients,16.,Thailand,"$3,198.85",5 Players
Defense of the Ancients,17.,Mongolia,"$2,000.00",5 Players
Defense of the Ancients,18.,Viet Nam,"$1,338.35",6 Players
Defense of the Ancients,19.,Estonia,"$1,070.06",1 Player
Defense of the Ancients,20.,Canada,"$1,064.82",2 Players
Defense of the Ancients,21.,Uzbekistan,$591.29,3 Players
Defense of the Ancients,22.,France,$500.00,1 Player
Defense of the Ancients,23.,Indonesia,$318.35,5 Players
Defense of the Ancients,24.,Belarus,$187.44,3 Players
