rank,country,earning,players,tournaments
Dota 2,1.,China,"$82,197,690.69",626 Players
Dota 2,2.,Russian Federation,"$33,261,598.88",581 Players
Dota 2,3.,Ukraine,"$20,836,279.35",258 Players
Dota 2,4.,Finland,"$17,270,272.64",91 Players
Dota 2,5.,United States,"$17,157,655.05",221 Players
Dota 2,6.,Sweden,"$16,668,601.21",132 Players
Dota 2,7.,Malaysia,"$13,501,794.73",165 Players
Dota 2,8.,Denmark,"$13,122,277.83",57 Players
Dota 2,9.,Philippines,"$11,065,858.16",162 Players
Dota 2,10.,Germany,"$10,726,246.88",124 Players
Dota 2,11.,Australia,"$8,035,912.41",95 Players
Dota 2,12.,Canada,"$7,875,416.52",97 Players
Dota 2,13.,Jordan,"$7,604,468.26",25 Players
Dota 2,14.,Peru,"$6,535,056.37",173 Players
Dota 2,15.,France,"$5,942,765.06",31 Players
Dota 2,16.,Bulgaria,"$5,619,364.92",24 Players
Dota 2,17.,Israel,"$5,450,786.99",6 Players
Dota 2,18.,Pakistan,"$4,656,548.59",34 Players
Dota 2,19.,Lebanon,"$4,652,054.06",21 Players
Dota 2,20.,Estonia,"$4,298,883.79",6 Players
Dota 2,21.,"Korea, Republic of","$3,927,598.14",115 Players
Dota 2,22.,North Macedonia,"$3,158,510.28",9 Players
Dota 2,23.,Poland,"$3,010,404.62",55 Players
Dota 2,24.,Thailand,"$2,835,054.68",94 Players
Dota 2,25.,Romania,"$2,759,833.63",57 Players
Dota 2,26.,Singapore,"$2,687,066.87",55 Players
Dota 2,27.,Indonesia,"$2,331,943.22",99 Players
Dota 2,28.,Brazil,"$2,275,509.18",153 Players
Dota 2,29.,Slovakia,"$2,031,888.55",27 Players
Dota 2,30.,Netherlands,"$1,792,771.99",26 Players
Dota 2,31.,Belarus,"$1,672,247.06",63 Players
Dota 2,32.,Macao,"$1,337,308.37",1 Player
Dota 2,33.,Kyrgyzstan,"$1,157,484.55",36 Players
Dota 2,34.,Greece,"$1,143,280.31",22 Players
Dota 2,35.,Bolivia,"$777,480.92",8 Players
Dota 2,36.,Kazakhstan,"$759,637.75",107 Players
Dota 2,37.,Czech Republic,"$694,575.47",64 Players
Dota 2,38.,Norway,"$652,290.75",6 Players
Dota 2,39.,"Moldova, Republic of","$623,717.21",1 Player
Dota 2,40.,Lao People's Democratic Republic,"$261,876.22",21 Players
Dota 2,41.,Mongolia,"$248,393.60",53 Players
Dota 2,42.,United Kingdom,"$205,293.81",134 Players
Dota 2,43.,Austria,"$194,767.13",26 Players
Dota 2,44.,Serbia,"$183,268.42",38 Players
Dota 2,45.,Argentina,"$143,439.14",19 Players
Dota 2,46.,Viet Nam,"$142,060.49",51 Players
Dota 2,47.,India,"$116,642.11",110 Players
Dota 2,48.,Mexico,"$113,528.82",12 Players
Dota 2,49.,Bosnia and Herzegovina,"$94,449.97",6 Players
Dota 2,50.,Georgia,"$77,173.31",9 Players
Dota 2,51.,South Africa,"$68,301.68",74 Players
Dota 2,52.,Turkey,"$64,163.48",33 Players
Dota 2,53.,Myanmar,"$62,806.32",20 Players
Dota 2,54.,Croatia,"$60,518.11",9 Players
Dota 2,55.,"Iran, Islamic Republic of","$59,975.62",43 Players
Dota 2,56.,Ecuador,"$44,657.58",8 Players
Dota 2,57.,Saudi Arabia,"$40,045.56",4 Players
Dota 2,58.,Belgium,"$36,248.78",1 Player
Dota 2,59.,Nicaragua,"$31,196.78",1 Player
Dota 2,60.,Uruguay,"$27,800.67",1 Player
Dota 2,61.,Japan,"$20,500.00",10 Players
Dota 2,62.,Chile,"$20,143.06",13 Players
Dota 2,63.,Egypt,"$20,030.66",12 Players
Dota 2,64.,Slovenia,"$15,635.25",1 Player
Dota 2,65.,Uzbekistan,"$13,074.31",7 Players
Dota 2,66.,Venezuela,"$12,483.33",2 Players
Dota 2,67.,Hungary,"$12,256.20",16 Players
Dota 2,68.,Albania,"$11,437.92",7 Players
Dota 2,69.,Cambodia,"$10,972.50",10 Players
Dota 2,70.,Bangladesh,"$6,335.40",8 Players
Dota 2,71.,New Zealand,"$5,928.51",13 Players
Dota 2,72.,Turkmenistan,"$5,000.00",5 Players
Dota 2,73.,Nepal,"$4,936.40",15 Players
Dota 2,74.,Syrian Arab Republic,"$4,747.89",6 Players
Dota 2,75.,Latvia,"$4,155.72",2 Players
Dota 2,76.,Switzerland,"$3,638.77",16 Players
Dota 2,77.,Lithuania,"$3,544.00",7 Players
Dota 2,78.,"Kosovo, Republic of","$3,200.00",4 Players
Dota 2,79.,Portugal,"$1,997.84",1 Player
Dota 2,80.,Italy,"$1,927.90",4 Players
Dota 2,81.,United Arab Emirates,"$1,733.65",4 Players
Dota 2,82.,Bahrain,"$1,662.44",1 Player
Dota 2,83.,Armenia,"$1,661.45",6 Players
Dota 2,84.,Brunei Darussalam,"$1,000.00",5 Players
Dota 2,85.,Colombia,$733.33,1 Player
Dota 2,86.,Iceland,$686.56,2 Players
Dota 2,87.,Iraq,$657.70,1 Player
Dota 2,88.,Spain,$600.00,1 Player
Dota 2,89.,"Taiwan, Republic of China",$516.80,2 Players
Dota 2,90.,Ireland,$407.05,3 Players
Dota 2,91.,Azerbaijan,$294.60,15 Players
Dota 2,92.,Malta,$239.00,2 Players
Dota 2,93.,Bermuda,$200.00,1 Player
Dota 2,94.,Sri Lanka,$155.95,5 Players
Dota 2,95.,Montenegro,$100.01,1 Player
Dota 2,96.,Cuba,$100.00,5 Players
Dota 2,97.,Algeria,$77.88,1 Player
