rank,country,earning,players,tournaments
Heroes of Newerth,1.,Sweden,"$673,872.48",96 Players
Heroes of Newerth,2.,Thailand,"$593,021.52",85 Players
Heroes of Newerth,3.,United States,"$263,028.54",81 Players
Heroes of Newerth,4.,China,"$248,498.95",31 Players
Heroes of Newerth,5.,Russian Federation,"$156,925.23",262 Players
Heroes of Newerth,6.,Denmark,"$156,803.47",31 Players
Heroes of Newerth,7.,Germany,"$139,048.37",21 Players
Heroes of Newerth,8.,Malaysia,"$54,798.09",35 Players
Heroes of Newerth,9.,Australia,"$34,070.95",4 Players
Heroes of Newerth,10.,Finland,"$26,517.01",23 Players
Heroes of Newerth,11.,Hungary,"$26,076.40",1 Player
Heroes of Newerth,12.,Kazakhstan,"$23,343.77",59 Players
Heroes of Newerth,13.,Canada,"$20,718.77",5 Players
Heroes of Newerth,14.,Israel,"$17,414.90",1 Player
Heroes of Newerth,15.,Bolivia,"$16,288.95",1 Player
Heroes of Newerth,16.,Ukraine,"$13,124.90",32 Players
Heroes of Newerth,17.,Indonesia,"$11,781.69",10 Players
Heroes of Newerth,18.,Norway,"$9,710.47",9 Players
Heroes of Newerth,19.,New Zealand,"$8,529.26",1 Player
Heroes of Newerth,20.,Poland,"$4,098.17",1 Player
Heroes of Newerth,21.,Åland Islands,"$2,737.38",15 Players
Heroes of Newerth,22.,Singapore,"$2,000.00",5 Players
Heroes of Newerth,23.,Belarus,"$1,999.08",3 Players
Heroes of Newerth,24.,Belgium,"$1,950.00",1 Player
Heroes of Newerth,25.,Netherlands,"$1,714.80",2 Players
Heroes of Newerth,26.,Greece,"$1,543.29",2 Players
Heroes of Newerth,27.,Austria,"$1,422.17",1 Player
Heroes of Newerth,28.,"Korea, Republic of","$1,200.00",2 Players
Heroes of Newerth,29.,Estonia,$950.00,1 Player
Heroes of Newerth,30.,Spain,$542.00,1 Player
Heroes of Newerth,31.,Bulgaria,$410.00,2 Players
Heroes of Newerth,32.,Costa Rica,$150.00,1 Player
Heroes of Newerth,33.,Slovenia,$140.00,1 Player
Heroes of Newerth,34.,"Moldova, Republic of",$80.00,2 Players
Heroes of Newerth,35.,Romania,$60.00,1 Player
