rank,country,earning,players,tournaments
Heroes of the Storm,1.,"Korea, Republic of","$5,837,743.79",153 Players
Heroes of the Storm,2.,China,"$3,249,513.05",201 Players
Heroes of the Storm,3.,United States,"$2,556,061.44",162 Players
Heroes of the Storm,4.,Sweden,"$1,323,538.18",33 Players
Heroes of the Storm,5.,Germany,"$796,970.76",56 Players
Heroes of the Storm,6.,United Kingdom,"$510,790.69",25 Players
Heroes of the Storm,7.,France,"$491,209.37",50 Players
Heroes of the Storm,8.,Canada,"$476,065.11",34 Players
Heroes of the Storm,9.,"Taiwan, Republic of China","$463,354.82",63 Players
Heroes of the Storm,10.,Australia,"$363,315.70",87 Players
Heroes of the Storm,11.,Poland,"$311,602.28",56 Players
Heroes of the Storm,12.,Denmark,"$288,470.05",11 Players
Heroes of the Storm,13.,Bulgaria,"$203,599.79",5 Players
Heroes of the Storm,14.,Brazil,"$169,044.76",49 Players
Heroes of the Storm,15.,Spain,"$140,179.56",29 Players
Heroes of the Storm,16.,Slovenia,"$111,493.39",3 Players
Heroes of the Storm,17.,Singapore,"$83,584.15",39 Players
Heroes of the Storm,18.,Norway,"$83,121.60",5 Players
Heroes of the Storm,19.,Philippines,"$78,800.00",23 Players
Heroes of the Storm,20.,Russian Federation,"$77,726.70",34 Players
Heroes of the Storm,21.,Croatia,"$72,193.01",1 Player
Heroes of the Storm,22.,Netherlands,"$47,428.29",13 Players
Heroes of the Storm,23.,Austria,"$42,242.63",1 Player
Heroes of the Storm,24.,Ukraine,"$34,132.35",11 Players
Heroes of the Storm,25.,Peru,"$29,267.50",15 Players
Heroes of the Storm,26.,Mexico,"$27,733.30",13 Players
Heroes of the Storm,27.,Latvia,"$27,182.85",2 Players
Heroes of the Storm,28.,Hong Kong,"$24,195.48",6 Players
Heroes of the Storm,29.,New Zealand,"$22,187.50",7 Players
Heroes of the Storm,30.,Argentina,"$18,270.60",18 Players
Heroes of the Storm,31.,Portugal,"$15,588.36",6 Players
Heroes of the Storm,32.,Thailand,"$14,387.55",11 Players
Heroes of the Storm,33.,Switzerland,"$12,181.19",3 Players
Heroes of the Storm,34.,Malaysia,"$11,650.00",21 Players
Heroes of the Storm,35.,Serbia,"$10,500.00",1 Player
Heroes of the Storm,36.,Italy,"$9,200.57",9 Players
Heroes of the Storm,37.,Chile,"$7,066.67",20 Players
Heroes of the Storm,38.,Hungary,"$4,663.32",8 Players
Heroes of the Storm,39.,Venezuela,"$3,583.33",3 Players
Heroes of the Storm,40.,Belgium,"$2,098.94",6 Players
Heroes of the Storm,41.,Finland,"$1,928.92",7 Players
Heroes of the Storm,42.,Czech Republic,"$1,500.00",5 Players
Heroes of the Storm,43.,Japan,"$1,002.00",5 Players
Heroes of the Storm,44.,Greece,$578.92,6 Players
Heroes of the Storm,45.,Iceland,$328.92,1 Player
Heroes of the Storm,46.,Cuba,$94.90,1 Player
Heroes of the Storm,47.,Lithuania,$44.68,1 Player
Heroes of the Storm,48.,Belarus,$40.00,1 Player
Heroes of the Storm,49.,Jamaica,$30.00,1 Player
