rank,country,earning,players,tournaments
Hyper Scape,1.,United States,"$138,866.66",116 Players
Hyper Scape,2.,Italy,"$55,149.99",15 Players
Hyper Scape,3.,France,"$44,400.00",17 Players
Hyper Scape,4.,Germany,"$16,300.00",23 Players
Hyper Scape,5.,United Kingdom,"$12,600.00",19 Players
Hyper Scape,6.,Sweden,"$9,883.33",9 Players
Hyper Scape,7.,Spain,"$6,300.00",12 Players
Hyper Scape,8.,Norway,"$3,400.00",1 Player
Hyper Scape,9.,Russian Federation,"$3,100.00",10 Players
Hyper Scape,10.,Turkey,"$1,950.00",7 Players
Hyper Scape,11.,Canada,"$1,750.00",5 Players
Hyper Scape,12.,Belarus,"$1,250.00",2 Players
Hyper Scape,13.,Poland,"$1,050.00",6 Players
Hyper Scape,14.,Hungary,$950.00,5 Players
Hyper Scape,15.,Brazil,$750.00,6 Players
Hyper Scape,16.,Belgium,$600.00,4 Players
Hyper Scape,17.,Netherlands,$250.00,1 Player
Hyper Scape,18.,Romania,$250.00,1 Player
Hyper Scape,19.,Ireland,$200.00,1 Player
