rank,country,earning,players,tournaments
League of Legends Wild Rift,1.,China,"$3,903,759.85",174 Players
League of Legends Wild Rift,2.,Viet Nam,"$795,010.26",133 Players
League of Legends Wild Rift,3.,Philippines,"$734,329.14",103 Players
League of Legends Wild Rift,4.,"Korea, Republic of","$601,575.30",58 Players
League of Legends Wild Rift,5.,"Taiwan, Republic of China","$559,682.00",90 Players
League of Legends Wild Rift,6.,Thailand,"$483,371.57",103 Players
League of Legends Wild Rift,7.,Brazil,"$433,280.01",93 Players
League of Legends Wild Rift,8.,United States,"$228,241.24",28 Players
League of Legends Wild Rift,9.,Japan,"$199,872.71",78 Players
League of Legends Wild Rift,10.,Spain,"$166,770.33",8 Players
League of Legends Wild Rift,11.,Indonesia,"$160,582.39",84 Players
League of Legends Wild Rift,12.,Malaysia,"$123,973.34",68 Players
League of Legends Wild Rift,13.,Argentina,"$104,283.35",23 Players
League of Legends Wild Rift,14.,France,"$95,543.98",11 Players
League of Legends Wild Rift,15.,Hong Kong,"$92,083.28",80 Players
League of Legends Wild Rift,16.,Germany,"$85,075.33",9 Players
League of Legends Wild Rift,17.,Singapore,"$80,778.61",44 Players
League of Legends Wild Rift,18.,Turkey,"$33,951.61",10 Players
League of Legends Wild Rift,19.,Australia,"$28,663.85",46 Players
League of Legends Wild Rift,20.,Netherlands,"$27,502.93",1 Player
League of Legends Wild Rift,21.,Uruguay,"$24,062.63",10 Players
League of Legends Wild Rift,22.,Canada,"$23,476.19",4 Players
League of Legends Wild Rift,23.,Russian Federation,"$23,421.56",7 Players
League of Legends Wild Rift,24.,Venezuela,"$21,495.25",9 Players
League of Legends Wild Rift,25.,United Kingdom,"$18,358.15",1 Player
League of Legends Wild Rift,26.,Chile,"$15,533.33",6 Players
League of Legends Wild Rift,27.,Colombia,"$15,078.58",8 Players
League of Legends Wild Rift,28.,Mexico,"$14,545.24",10 Players
League of Legends Wild Rift,29.,Iraq,"$14,200.00",1 Player
League of Legends Wild Rift,30.,Czech Republic,"$12,945.80",37 Players
League of Legends Wild Rift,31.,Bolivia,"$12,300.00",1 Player
League of Legends Wild Rift,32.,Denmark,"$11,913.54",3 Players
League of Legends Wild Rift,33.,Belgium,"$8,685.26",1 Player
League of Legends Wild Rift,34.,"Iran, Islamic Republic of","$6,566.67",1 Player
League of Legends Wild Rift,35.,Ecuador,"$5,900.00",4 Players
League of Legends Wild Rift,36.,Puerto Rico,"$4,797.62",2 Players
League of Legends Wild Rift,37.,Estonia,"$4,541.39",1 Player
League of Legends Wild Rift,38.,Kyrgyzstan,"$3,826.78",1 Player
League of Legends Wild Rift,39.,Costa Rica,"$2,999.99",4 Players
League of Legends Wild Rift,40.,Sweden,"$2,692.34",1 Player
League of Legends Wild Rift,41.,Switzerland,"$2,074.78",1 Player
League of Legends Wild Rift,42.,Romania,"$1,917.69",1 Player
League of Legends Wild Rift,43.,Brunei Darussalam,"$1,416.67",1 Player
League of Legends Wild Rift,44.,New Zealand,"$1,247.64",7 Players
League of Legends Wild Rift,45.,Slovakia,"$1,158.58",5 Players
League of Legends Wild Rift,46.,Peru,$700.00,2 Players
League of Legends Wild Rift,47.,Bulgaria,$264.67,1 Player
League of Legends Wild Rift,48.,Poland,$83.33,1 Player
League of Legends Wild Rift,49.,Portugal,$16.96,1 Player
