rank,country,earning,players,tournaments
League of Legends,1.,"Korea, Republic of","$34,053,931.81",960 Players
League of Legends,2.,China,"$19,038,102.99",571 Players
League of Legends,3.,"Taiwan, Republic of China","$5,388,659.84",238 Players
League of Legends,4.,United States,"$4,554,248.23",544 Players
League of Legends,5.,Denmark,"$3,846,444.29",271 Players
League of Legends,6.,Poland,"$2,638,930.27",412 Players
League of Legends,7.,Germany,"$2,346,593.89",544 Players
League of Legends,8.,France,"$2,185,127.99",435 Players
League of Legends,9.,Canada,"$1,880,055.09",208 Players
League of Legends,10.,Viet Nam,"$1,872,398.70",299 Players
League of Legends,11.,Brazil,"$1,566,118.47",327 Players
League of Legends,12.,Russian Federation,"$1,532,061.41",155 Players
League of Legends,13.,Sweden,"$1,476,195.63",215 Players
League of Legends,14.,Spain,"$1,108,480.87",236 Players
League of Legends,15.,Hong Kong,"$1,053,915.88",100 Players
League of Legends,16.,Australia,"$927,093.16",113 Players
League of Legends,17.,Turkey,"$902,567.06",156 Players
League of Legends,18.,Belgium,"$828,136.17",92 Players
League of Legends,19.,Netherlands,"$798,500.68",228 Players
League of Legends,20.,Czech Republic,"$753,078.90",173 Players
League of Legends,21.,United Kingdom,"$730,804.64",189 Players
League of Legends,22.,Croatia,"$696,942.53",39 Players
League of Legends,23.,Japan,"$595,235.62",71 Players
League of Legends,24.,Bulgaria,"$579,487.59",67 Players
League of Legends,25.,Slovenia,"$527,767.63",33 Players
League of Legends,26.,Philippines,"$514,297.75",127 Players
League of Legends,27.,Greece,"$475,417.91",199 Players
League of Legends,28.,Ukraine,"$467,846.37",60 Players
League of Legends,29.,Saudi Arabia,"$462,457.21",21 Players
League of Legends,30.,Thailand,"$462,278.46",110 Players
League of Legends,31.,Romania,"$428,703.97",89 Players
League of Legends,32.,Chile,"$372,179.55",64 Players
League of Legends,33.,Argentina,"$355,451.93",62 Players
League of Legends,34.,Singapore,"$340,957.49",105 Players
League of Legends,35.,Norway,"$333,373.22",98 Players
League of Legends,36.,Finland,"$315,099.95",156 Players
League of Legends,37.,Mexico,"$306,858.08",74 Players
League of Legends,38.,Portugal,"$238,820.94",155 Players
League of Legends,39.,Hungary,"$223,104.70",86 Players
League of Legends,40.,Lithuania,"$217,056.65",86 Players
League of Legends,41.,Malaysia,"$204,544.37",68 Players
League of Legends,42.,Serbia,"$173,285.12",67 Players
League of Legends,43.,Lebanon,"$169,636.91",5 Players
League of Legends,44.,Tunisia,"$160,610.54",21 Players
League of Legends,45.,Estonia,"$159,191.97",33 Players
League of Legends,46.,Italy,"$157,406.42",67 Players
League of Legends,47.,Armenia,"$148,423.34",1 Player
League of Legends,48.,Egypt,"$147,341.34",28 Players
League of Legends,49.,Austria,"$134,783.12",71 Players
League of Legends,50.,Peru,"$133,084.33",12 Players
League of Legends,51.,Jordan,"$121,701.42",16 Players
League of Legends,52.,Slovakia,"$115,978.08",56 Players
League of Legends,53.,New Zealand,"$109,097.50",11 Players
League of Legends,54.,Indonesia,"$93,733.83",40 Players
League of Legends,55.,Uruguay,"$75,754.83",8 Players
League of Legends,56.,Venezuela,"$60,257.79",14 Players
League of Legends,57.,Belarus,"$56,951.45",2 Players
League of Legends,58.,Switzerland,"$53,193.27",45 Players
League of Legends,59.,Latvia,"$51,889.42",37 Players
League of Legends,60.,Morocco,"$40,873.34",20 Players
League of Legends,61.,Colombia,"$36,620.11",36 Players
League of Legends,62.,Costa Rica,"$32,061.58",33 Players
League of Legends,63.,United Arab Emirates,"$29,486.80",9 Players
League of Legends,64.,Algeria,"$24,783.83",4 Players
League of Legends,65.,Macao,"$21,598.98",8 Players
League of Legends,66.,Iraq,"$16,657.14",1 Player
League of Legends,67.,Puerto Rico,"$15,825.99",12 Players
League of Legends,68.,"Iran, Islamic Republic of","$15,338.56",3 Players
League of Legends,69.,Israel,"$14,278.86",17 Players
League of Legends,70.,"Moldova, Republic of","$13,480.69",2 Players
League of Legends,71.,North Macedonia,"$13,051.06",11 Players
League of Legends,72.,Malta,"$12,360.80",83 Players
League of Legends,73.,Ecuador,"$10,786.84",2 Players
