rank,country,earning,players,tournaments
Minecraft,1.,United States,"$1,077,262.77",211 Players
Minecraft,2.,United Kingdom,"$213,638.79",103 Players
Minecraft,3.,Canada,"$137,772.00",39 Players
Minecraft,4.,France,"$104,696.79",25 Players
Minecraft,5.,Germany,"$82,304.33",21 Players
Minecraft,6.,Spain,"$60,835.25",24 Players
Minecraft,7.,Poland,"$29,571.00",17 Players
Minecraft,8.,Netherlands,"$24,756.00",11 Players
Minecraft,9.,Austria,"$23,845.00",2 Players
Minecraft,10.,Sweden,"$19,836.08",3 Players
Minecraft,11.,Russian Federation,"$9,441.00",12 Players
Minecraft,12.,Turkey,"$8,671.00",18 Players
Minecraft,13.,Australia,"$8,376.67",8 Players
Minecraft,14.,Mexico,"$7,550.00",5 Players
Minecraft,15.,Argentina,"$6,925.00",3 Players
Minecraft,16.,Finland,"$5,620.00",1 Player
Minecraft,17.,Italy,"$4,021.00",13 Players
Minecraft,18.,New Zealand,"$3,945.00",1 Player
Minecraft,19.,Luxembourg,"$2,692.75",1 Player
Minecraft,20.,Norway,"$2,355.00",4 Players
Minecraft,21.,Japan,"$2,250.00",5 Players
Minecraft,22.,"Korea, Republic of","$2,250.00",5 Players
Minecraft,23.,Morocco,"$2,150.00",1 Player
Minecraft,24.,Lithuania,"$1,645.00",2 Players
Minecraft,25.,Venezuela,"$1,170.00",1 Player
Minecraft,26.,Ukraine,"$1,150.00",1 Player
Minecraft,27.,Denmark,$767.75,2 Players
Minecraft,28.,Ireland,$730.00,2 Players
Minecraft,29.,Colombia,$500.00,2 Players
Minecraft,30.,Peru,$500.00,2 Players
Minecraft,31.,--UNDEFINED--,$350.00,1 Player
Minecraft,32.,Hungary,$250.00,1 Player
Minecraft,33.,Philippines,$100.00,1 Player
Minecraft,34.,Uganda,$100.00,1 Player
