rank,country,earning,players,tournaments
Mobile Legends Bang Bang,1.,Indonesia,"$3,454,656.43",269 Players
Mobile Legends Bang Bang,2.,Philippines,"$3,137,554.45",264 Players
Mobile Legends Bang Bang,3.,Malaysia,"$1,023,307.49",232 Players
Mobile Legends Bang Bang,4.,Singapore,"$678,647.86",144 Players
Mobile Legends Bang Bang,5.,Myanmar,"$383,661.49",129 Players
Mobile Legends Bang Bang,6.,Cambodia,"$286,700.70",117 Players
Mobile Legends Bang Bang,7.,Brazil,"$199,529.69",101 Players
Mobile Legends Bang Bang,8.,United States,"$96,400.00",6 Players
Mobile Legends Bang Bang,9.,Thailand,"$70,042.71",16 Players
Mobile Legends Bang Bang,10.,Turkey,"$62,396.05",16 Players
Mobile Legends Bang Bang,11.,Brunei Darussalam,"$50,494.29",2 Players
Mobile Legends Bang Bang,12.,Egypt,"$38,209.39",29 Players
Mobile Legends Bang Bang,13.,Russian Federation,"$36,858.00",17 Players
Mobile Legends Bang Bang,14.,Argentina,"$36,500.00",6 Players
Mobile Legends Bang Bang,15.,Viet Nam,"$33,161.38",24 Players
Mobile Legends Bang Bang,16.,Saudi Arabia,"$32,666.68",16 Players
Mobile Legends Bang Bang,17.,United Arab Emirates,"$23,255.77",6 Players
Mobile Legends Bang Bang,18.,Kuwait,"$20,950.02",7 Players
Mobile Legends Bang Bang,19.,Peru,"$20,000.00",8 Players
Mobile Legends Bang Bang,20.,Lao People's Democratic Republic,"$19,210.26",30 Players
Mobile Legends Bang Bang,21.,Mongolia,"$17,237.60",5 Players
Mobile Legends Bang Bang,22.,Japan,"$13,599.98",9 Players
Mobile Legends Bang Bang,23.,Ukraine,"$12,850.00",2 Players
Mobile Legends Bang Bang,24.,"Korea, Republic of","$12,725.92",4 Players
Mobile Legends Bang Bang,25.,Jordan,"$12,266.66",7 Players
Mobile Legends Bang Bang,26.,Syrian Arab Republic,"$10,546.38",5 Players
Mobile Legends Bang Bang,27.,"Iran, Islamic Republic of","$8,146.37",1 Player
Mobile Legends Bang Bang,28.,Yemen,"$7,133.34",3 Players
Mobile Legends Bang Bang,29.,"Palestine, State of","$4,550.00",2 Players
Mobile Legends Bang Bang,30.,Chile,"$2,500.00",1 Player
Mobile Legends Bang Bang,31.,Canada,"$2,488.57",1 Player
Mobile Legends Bang Bang,32.,"Taiwan, Republic of China","$2,202.75",3 Players
Mobile Legends Bang Bang,33.,Lebanon,"$2,083.33",1 Player
Mobile Legends Bang Bang,34.,Germany,"$1,320.23",1 Player
Mobile Legends Bang Bang,35.,Mexico,$800.00,1 Player
Mobile Legends Bang Bang,36.,United Kingdom,$16.50,1 Player
Mobile Legends Bang Bang,37.,Algeria,$8.25,1 Player
