rank,country,earning,players,tournaments
SMITE,1.,United States,"$3,790,644.34",189 Players
SMITE,2.,Sweden,"$1,175,197.64",8 Players
SMITE,3.,United Kingdom,"$978,527.81",52 Players
SMITE,4.,Canada,"$753,289.33",22 Players
SMITE,5.,Denmark,"$599,902.64",15 Players
SMITE,6.,Germany,"$265,551.00",7 Players
SMITE,7.,China,"$166,800.00",22 Players
SMITE,8.,Norway,"$157,945.35",4 Players
SMITE,9.,Ukraine,"$149,200.00",1 Player
SMITE,10.,Australia,"$148,443.00",45 Players
SMITE,11.,Portugal,"$112,325.80",2 Players
SMITE,12.,Brazil,"$109,877.69",70 Players
SMITE,13.,Netherlands,"$108,796.73",13 Players
SMITE,14.,Croatia,"$86,775.00",4 Players
SMITE,15.,Argentina,"$78,630.60",15 Players
SMITE,16.,Poland,"$59,205.58",3 Players
SMITE,17.,"Korea, Republic of","$53,741.98",3 Players
SMITE,18.,Romania,"$38,600.00",1 Player
SMITE,19.,Bulgaria,"$38,300.00",1 Player
SMITE,20.,France,"$36,400.00",3 Players
SMITE,21.,Chile,"$26,461.20",4 Players
SMITE,22.,Malaysia,"$26,251.96",1 Player
SMITE,23.,Peru,"$25,780.16",4 Players
SMITE,24.,Venezuela,"$21,861.20",3 Players
SMITE,25.,Kuwait,"$19,800.00",1 Player
SMITE,26.,Israel,"$15,950.00",5 Players
SMITE,27.,Colombia,"$14,400.00",6 Players
SMITE,28.,Austria,"$13,106.00",4 Players
SMITE,29.,Uruguay,"$9,800.00",3 Players
SMITE,30.,New Zealand,"$9,127.67",3 Players
SMITE,31.,Russian Federation,"$9,057.14",1 Player
SMITE,32.,Georgia,"$6,000.00",1 Player
SMITE,33.,Ecuador,"$5,000.00",1 Player
SMITE,34.,Italy,"$4,833.33",2 Players
SMITE,35.,Belgium,"$4,500.00",3 Players
SMITE,36.,Hungary,"$4,400.00",1 Player
SMITE,37.,Finland,"$2,650.00",2 Players
SMITE,38.,Guatemala,"$2,200.00",1 Player
SMITE,39.,Mexico,"$2,000.00",2 Players
SMITE,40.,Indonesia,"$1,579.85",2 Players
SMITE,41.,Czech Republic,"$1,500.00",1 Player
SMITE,42.,Estonia,"$1,250.00",1 Player
SMITE,43.,Ireland,"$1,000.00",1 Player
SMITE,44.,Hong Kong,$800.00,2 Players
SMITE,45.,Spain,$500.00,5 Players
SMITE,46.,Serbia,$150.00,1 Player
SMITE,47.,Iraq,$0.00,1 Player
