rank,country,earning,players,tournaments
osu!,1.,United States,"$57,830.15",128 Players
osu!,2.,"Korea, Republic of","$29,167.07",113 Players
osu!,3.,Poland,"$17,776.73",33 Players
osu!,4.,Germany,"$13,819.28",59 Players
osu!,5.,China,"$11,228.35",42 Players
osu!,6.,Australia,"$10,684.43",10 Players
osu!,7.,United Kingdom,"$8,634.72",31 Players
osu!,8.,Japan,"$7,274.02",30 Players
osu!,9.,France,"$6,575.76",50 Players
osu!,10.,Canada,"$6,027.81",26 Players
osu!,11.,Brazil,"$5,681.81",30 Players
osu!,12.,Chile,"$4,754.24",16 Players
osu!,13.,Peru,"$4,236.59",4 Players
osu!,14.,Sweden,"$3,658.10",10 Players
osu!,15.,Switzerland,"$3,335.05",12 Players
osu!,16.,Russian Federation,"$3,094.74",24 Players
osu!,17.,Indonesia,"$2,841.94",36 Players
osu!,18.,Romania,"$2,757.47",8 Players
osu!,19.,Hong Kong,"$2,534.63",24 Players
osu!,20.,"Taiwan, Republic of China","$2,370.87",17 Players
osu!,21.,Philippines,"$1,704.70",14 Players
osu!,22.,Netherlands,"$1,408.61",17 Players
osu!,23.,Malaysia,"$1,325.66",15 Players
osu!,24.,Latvia,$863.70,1 Player
osu!,25.,Italy,$631.72,8 Players
osu!,26.,Spain,$424.05,9 Players
osu!,27.,Finland,$416.23,11 Players
osu!,28.,Norway,$366.69,3 Players
osu!,29.,Israel,$337.50,1 Player
osu!,30.,Denmark,$321.62,3 Players
osu!,31.,Lithuania,$280.25,1 Player
osu!,32.,Portugal,$203.23,3 Players
osu!,33.,Turkey,$190.63,1 Player
osu!,34.,Ireland,$179.12,7 Players
osu!,35.,Estonia,$166.75,1 Player
osu!,36.,Morocco,$166.75,1 Player
osu!,37.,Guatemala,$143.00,1 Player
osu!,38.,Honduras,$143.00,1 Player
osu!,39.,Viet Nam,$133.01,4 Players
osu!,40.,Belgium,$130.59,1 Player
osu!,41.,Thailand,$65.00,1 Player
osu!,42.,Tunisia,$64.62,1 Player
osu!,43.,Argentina,$50.00,1 Player
osu!,44.,Egypt,$50.00,1 Player
osu!,45.,Uruguay,$50.00,1 Player
osu!,46.,New Zealand,$48.98,1 Player
osu!,47.,Czech Republic,$40.83,1 Player
osu!,48.,Bahrain,$40.66,2 Players
osu!,49.,Hungary,$40.00,1 Player
osu!,50.,Singapore,$30.00,1 Player
osu!,51.,Greece,$20.00,1 Player
osu!,52.,Jersey,$18.38,1 Player
osu!,53.,Ukraine,$17.50,3 Players
osu!,54.,Bangladesh,$0.00,1 Player
