rank,country,earning,players,tournaments
Microsoft Excel,1.,India,$600.00,2 Players
Microsoft Excel,2.,United States,$600.00,1 Player
Microsoft Excel,3.,Latvia,$550.00,3 Players
Microsoft Excel,4.,Malaysia,$300.00,2 Players
Microsoft Excel,5.,United Kingdom,$250.00,2 Players
Microsoft Excel,6.,Netherlands,$200.00,1 Player
Microsoft Excel,7.,New Zealand,$200.00,1 Player
Microsoft Excel,8.,Colombia,$150.00,1 Player
Microsoft Excel,9.,Australia,$100.00,1 Player
Microsoft Excel,10.,Poland,$100.00,1 Player
Microsoft Excel,11.,Ukraine,$100.00,1 Player
Microsoft Excel,12.,Germany,$50.00,1 Player
