rank,country,earning,players,tournaments
Tetris,1.,United States,"$56,416.43",77 Players
Tetris,2.,Japan,"$2,375.00",2 Players
Tetris,3.,Indonesia,"$1,526.06",1 Player
Tetris,4.,Netherlands,"$1,376.50",1 Player
Tetris,5.,United Kingdom,"$1,050.00",4 Players
Tetris,6.,Canada,$661.25,4 Players
Tetris,7.,Mexico,$650.00,2 Players
Tetris,8.,Germany,$550.00,2 Players
Tetris,9.,Finland,$250.00,1 Player
Tetris,10.,"Korea, Republic of",$250.00,1 Player
Tetris,11.,Portugal,$250.00,1 Player
Tetris,12.,Austria,$150.00,1 Player
Tetris,13.,Costa Rica,$150.00,1 Player
Tetris,14.,Sweden,$100.00,1 Player
Tetris,15.,Belgium,$50.00,1 Player
Tetris,16.,Romania,$22.76,1 Player
