rank,country,earning,players,tournaments
Guild Wars 2,1.,United States,"$161,799.53",61 Players
Guild Wars 2,2.,Sweden,"$61,503.04",5 Players
Guild Wars 2,3.,Germany,"$44,151.44",22 Players
Guild Wars 2,4.,Slovakia,"$28,356.56",3 Players
Guild Wars 2,5.,France,"$27,167.71",12 Players
Guild Wars 2,6.,Canada,"$25,900.00",6 Players
Guild Wars 2,7.,Finland,"$22,016.36",6 Players
Guild Wars 2,8.,United Kingdom,"$20,636.08",4 Players
Guild Wars 2,9.,Belgium,"$18,383.03",2 Players
Guild Wars 2,10.,Lithuania,"$17,426.74",1 Player
Guild Wars 2,11.,China,"$15,000.00",17 Players
Guild Wars 2,12.,Austria,"$5,243.27",4 Players
Guild Wars 2,13.,Netherlands,"$4,358.11",3 Players
Guild Wars 2,14.,Spain,"$1,416.67",2 Players
Guild Wars 2,15.,Israel,"$1,086.55",1 Player
Guild Wars 2,16.,Saudi Arabia,$818.83,1 Player
Guild Wars 2,17.,Switzerland,$750.00,1 Player
Guild Wars 2,18.,Hungary,$750.00,1 Player
