rank,country,earning,players,tournaments
Old School Runescape,1.,United Kingdom,"$184,563.70",27 Players
Old School Runescape,2.,United States,"$106,805.00",40 Players
Old School Runescape,3.,Finland,"$86,500.02",13 Players
Old School Runescape,4.,Australia,"$21,250.00",1 Player
Old School Runescape,5.,India,"$18,115.50",1 Player
Old School Runescape,6.,New Zealand,"$11,250.00",1 Player
Old School Runescape,7.,Slovenia,"$7,500.00",1 Player
Old School Runescape,8.,Sweden,"$3,520.00",2 Players
Old School Runescape,9.,Canada,"$2,250.00",2 Players
Old School Runescape,10.,Netherlands,"$1,000.00",1 Player
