rank,country,earning,players,tournaments
Stardew Valley,1.,United States,"$82,250.00",45 Players
Stardew Valley,2.,France,"$8,100.00",4 Players
Stardew Valley,3.,Poland,"$5,350.00",5 Players
Stardew Valley,4.,Germany,"$1,050.00",5 Players
Stardew Valley,5.,New Zealand,$675.00,2 Players
Stardew Valley,6.,Canada,$250.00,1 Player
Stardew Valley,7.,Sweden,$100.00,4 Players
Stardew Valley,8.,Austria,$25.00,1 Player
Stardew Valley,9.,Switzerland,$25.00,1 Player
Stardew Valley,10.,United Kingdom,$25.00,1 Player
