rank,country,earning,players,tournaments
Assetto Corsa Competizione,1.,Germany,"$117,416.19",89 Players
Assetto Corsa Competizione,2.,Italy,"$78,978.17",81 Players
Assetto Corsa Competizione,3.,United Kingdom,"$59,000.68",58 Players
Assetto Corsa Competizione,4.,France,"$40,088.89",27 Players
Assetto Corsa Competizione,5.,Argentina,"$27,705.00",2 Players
Assetto Corsa Competizione,6.,Denmark,"$26,521.84",10 Players
Assetto Corsa Competizione,7.,Spain,"$20,900.00",7 Players
Assetto Corsa Competizione,8.,Japan,"$17,130.00",3 Players
Assetto Corsa Competizione,9.,Finland,"$15,748.81",19 Players
Assetto Corsa Competizione,10.,South Africa,"$13,207.90",10 Players
Assetto Corsa Competizione,11.,Netherlands,"$13,067.51",22 Players
Assetto Corsa Competizione,12.,United States,"$10,907.57",7 Players
Assetto Corsa Competizione,13.,Russian Federation,"$10,906.65",27 Players
Assetto Corsa Competizione,14.,Indonesia,"$10,048.75",8 Players
Assetto Corsa Competizione,15.,Belgium,"$9,830.79",8 Players
Assetto Corsa Competizione,16.,Poland,"$9,396.43",25 Players
Assetto Corsa Competizione,17.,Switzerland,"$9,011.64",6 Players
Assetto Corsa Competizione,18.,Ireland,"$8,327.48",7 Players
Assetto Corsa Competizione,19.,Australia,"$6,551.59",10 Players
Assetto Corsa Competizione,20.,Romania,"$5,510.00",5 Players
Assetto Corsa Competizione,21.,China,"$5,400.00",3 Players
Assetto Corsa Competizione,22.,Canada,"$3,138.34",10 Players
Assetto Corsa Competizione,23.,Chile,"$3,025.00",1 Player
Assetto Corsa Competizione,24.,Slovenia,"$2,535.16",6 Players
Assetto Corsa Competizione,25.,New Zealand,"$2,050.00",1 Player
Assetto Corsa Competizione,26.,Brazil,"$1,623.23",5 Players
Assetto Corsa Competizione,27.,Hungary,"$1,369.34",13 Players
Assetto Corsa Competizione,28.,Singapore,"$1,182.50",1 Player
Assetto Corsa Competizione,29.,Norway,"$1,069.50",3 Players
Assetto Corsa Competizione,30.,Hong Kong,$900.00,3 Players
Assetto Corsa Competizione,31.,Morocco,$900.00,1 Player
Assetto Corsa Competizione,32.,North Macedonia,$789.00,1 Player
Assetto Corsa Competizione,33.,Austria,$742.50,1 Player
Assetto Corsa Competizione,34.,"Iran, Islamic Republic of",$737.50,1 Player
Assetto Corsa Competizione,35.,Lithuania,$732.50,5 Players
Assetto Corsa Competizione,36.,Philippines,$600.00,1 Player
Assetto Corsa Competizione,37.,Thailand,$600.00,1 Player
Assetto Corsa Competizione,38.,Greece,$568.50,2 Players
Assetto Corsa Competizione,39.,Czech Republic,$566.45,3 Players
Assetto Corsa Competizione,40.,Croatia,$544.33,1 Player
Assetto Corsa Competizione,41.,Luxembourg,$261.00,1 Player
Assetto Corsa Competizione,42.,Portugal,$152.00,4 Players
Assetto Corsa Competizione,43.,Latvia,$130.70,3 Players
Assetto Corsa Competizione,44.,Jamaica,$126.00,1 Player
Assetto Corsa Competizione,45.,Slovakia,$126.00,1 Player
Assetto Corsa Competizione,46.,Ukraine,$114.50,1 Player
Assetto Corsa Competizione,47.,Bulgaria,$99.90,1 Player
Assetto Corsa Competizione,48.,Sweden,$60.00,1 Player
Assetto Corsa Competizione,49.,Malaysia,$20.00,1 Player
Assetto Corsa Competizione,50.,Estonia,$15.00,2 Players
