rank,country,earning,players,tournaments
F1 22,1.,United Kingdom,"$182,500.00",6 Players
F1 22,2.,Netherlands,"$117,500.00",3 Players
F1 22,3.,"Iran, Islamic Republic of","$93,750.00",1 Player
F1 22,4.,Germany,"$81,574.00",5 Players
F1 22,5.,Denmark,"$75,000.00",1 Player
F1 22,6.,Poland,"$67,500.00",2 Players
F1 22,7.,Spain,"$32,500.00",1 Player
F1 22,8.,France,"$25,000.00",1 Player
F1 22,9.,Hungary,"$25,000.00",1 Player
F1 22,10.,Finland,"$18,750.00",1 Player
F1 22,11.,Italy,"$18,750.00",2 Players
F1 22,12.,Chile,"$12,500.00",1 Player
