rank,country,earning,players,tournaments
Forza Motorsport 7,1.,United Kingdom,"$251,033.37",35 Players
Forza Motorsport 7,2.,France,"$164,083.31",13 Players
Forza Motorsport 7,3.,Germany,"$136,166.66",9 Players
Forza Motorsport 7,4.,United States,"$126,049.99",13 Players
Forza Motorsport 7,5.,Brazil,"$58,999.98",17 Players
Forza Motorsport 7,6.,Canada,"$20,033.33",17 Players
Forza Motorsport 7,7.,Poland,"$15,000.01",5 Players
Forza Motorsport 7,8.,Australia,"$13,666.67",8 Players
Forza Motorsport 7,9.,China,"$8,000.01",6 Players
Forza Motorsport 7,10.,Japan,"$6,000.00",3 Players
Forza Motorsport 7,11.,"Korea, Republic of","$4,833.33",1 Player
Forza Motorsport 7,12.,Mexico,"$4,666.67",1 Player
Forza Motorsport 7,13.,Netherlands,"$4,333.33",3 Players
Forza Motorsport 7,14.,Belgium,"$2,666.67",1 Player
Forza Motorsport 7,15.,Ireland,"$1,666.67",1 Player
Forza Motorsport 7,16.,Spain,$833.33,1 Player
Forza Motorsport 7,17.,Italy,$666.66,2 Players
Forza Motorsport 7,18.,Norway,$500.00,1 Player
Forza Motorsport 7,19.,Indonesia,$333.33,1 Player
Forza Motorsport 7,20.,Philippines,$333.33,1 Player
Forza Motorsport 7,21.,Singapore,$333.33,1 Player
Forza Motorsport 7,22.,Russian Federation,$0.00,3 Players
