rank,country,earning,players,tournaments
Gran Turismo Sport,1.,Malaysia,"$26,160.00",19 Players
Gran Turismo Sport,2.,Thailand,"$18,349.00",15 Players
Gran Turismo Sport,3.,Singapore,"$7,500.00",1 Player
Gran Turismo Sport,4.,"Taiwan, Republic of China","$4,500.00",4 Players
Gran Turismo Sport,5.,Spain,"$1,685.78",39 Players
Gran Turismo Sport,6.,Netherlands,"$1,673.57",38 Players
Gran Turismo Sport,7.,Belgium,$244.35,8 Players
Gran Turismo Sport,8.,Italy,$209.78,2 Players
Gran Turismo Sport,9.,Germany,$104.89,1 Player
Gran Turismo Sport,10.,United Kingdom,$104.89,1 Player
Gran Turismo Sport,11.,Hungary,$104.89,1 Player
Gran Turismo Sport,12.,Sweden,$104.89,1 Player
Gran Turismo Sport,13.,Czech Republic,$59.00,1 Player
Gran Turismo Sport,14.,France,$59.00,1 Player
