rank,country,earning,players,tournaments
Mad Skills Motocross 2,1.,United States,"$43,675.00",11 Players
Mad Skills Motocross 2,2.,Norway,"$13,357.00",2 Players
Mad Skills Motocross 2,3.,Finland,"$12,000.00",1 Player
Mad Skills Motocross 2,4.,Colombia,"$3,200.00",2 Players
Mad Skills Motocross 2,5.,Canada,"$2,016.00",1 Player
Mad Skills Motocross 2,6.,New Zealand,"$2,000.00",1 Player
Mad Skills Motocross 2,7.,Australia,"$1,411.00",1 Player
Mad Skills Motocross 2,8.,Brazil,$800.00,1 Player
Mad Skills Motocross 2,9.,Philippines,$800.00,1 Player
Mad Skills Motocross 2,10.,Germany,$504.00,1 Player
Mad Skills Motocross 2,11.,Italy,$400.00,1 Player
