rank,country,earning,players,tournaments
Project Cars 2,1.,France,"$12,050.00",2 Players
Project Cars 2,2.,United States,"$9,112.00",15 Players
Project Cars 2,3.,Czech Republic,"$8,840.00",1 Player
Project Cars 2,4.,United Kingdom,"$8,412.00",4 Players
Project Cars 2,5.,Netherlands,"$7,458.00",4 Players
Project Cars 2,6.,Finland,"$6,780.00",1 Player
Project Cars 2,7.,Germany,"$4,592.00",1 Player
Project Cars 2,8.,Poland,"$3,706.00",3 Players
Project Cars 2,9.,Sweden,"$2,100.00",1 Player
Project Cars 2,10.,Slovakia,"$1,540.00",1 Player
Project Cars 2,11.,Canada,$650.00,1 Player
Project Cars 2,12.,Spain,$560.00,2 Players
Project Cars 2,13.,Argentina,$350.00,1 Player
