rank,country,earning,players,tournaments
Project Cars,1.,France,"$30,711.00",26 Players
Project Cars,2.,Poland,"$10,584.50",5 Players
Project Cars,3.,Finland,"$5,189.00",3 Players
Project Cars,4.,Czech Republic,"$4,518.00",1 Player
Project Cars,5.,Netherlands,"$2,421.75",2 Players
Project Cars,6.,United Kingdom,"$2,248.25",5 Players
Project Cars,7.,Germany,"$1,767.50",9 Players
Project Cars,8.,Russian Federation,"$1,550.00",1 Player
Project Cars,9.,Sweden,"$1,550.00",1 Player
Project Cars,10.,Croatia,"$1,240.00",1 Player
Project Cars,11.,Portugal,"$1,228.50",1 Player
Project Cars,12.,Norway,$604.50,1 Player
Project Cars,13.,Italy,$307.50,3 Players
Project Cars,14.,Ukraine,$226.00,1 Player
Project Cars,15.,Belgium,$56.00,1 Player
