rank,country,earning,players,tournaments
Project Gotham Racing 3,1.,United States,"$200,000.00",9 Players
Project Gotham Racing 3,2.,United Kingdom,"$20,000.00",4 Players
Project Gotham Racing 3,3.,Netherlands,"$15,995.39",1 Player
Project Gotham Racing 3,4.,Finland,"$11,996.07",4 Players
Project Gotham Racing 3,5.,Sweden,"$11,000.00",1 Player
Project Gotham Racing 3,6.,France,"$9,663.59",1 Player
Project Gotham Racing 3,7.,Mexico,"$9,000.00",4 Players
Project Gotham Racing 3,8.,Singapore,"$6,000.00",2 Players
Project Gotham Racing 3,9.,Australia,"$3,000.00",2 Players
Project Gotham Racing 3,10.,Ireland,"$3,000.00",1 Player
Project Gotham Racing 3,11.,"Korea, Republic of","$3,000.00",2 Players
Project Gotham Racing 3,12.,"Taiwan, Republic of China","$3,000.00",1 Player
Project Gotham Racing 3,13.,Austria,"$1,331.80",1 Player
Project Gotham Racing 3,14.,Canada,$300.00,1 Player
