rank,country,earning,players,tournaments
RaceRoom Racing Experience,1.,Germany,"$103,520.69",68 Players
RaceRoom Racing Experience,2.,United Kingdom,"$28,823.53",7 Players
RaceRoom Racing Experience,3.,Poland,"$26,967.00",4 Players
RaceRoom Racing Experience,4.,Sweden,"$21,661.08",7 Players
RaceRoom Racing Experience,5.,Slovakia,"$19,696.76",3 Players
RaceRoom Racing Experience,6.,Spain,"$18,147.38",8 Players
RaceRoom Racing Experience,7.,Hungary,"$16,780.72",17 Players
RaceRoom Racing Experience,8.,Slovenia,"$8,772.00",1 Player
RaceRoom Racing Experience,9.,Italy,"$8,409.08",3 Players
RaceRoom Racing Experience,10.,North Macedonia,"$5,191.00",1 Player
RaceRoom Racing Experience,11.,Russian Federation,"$3,043.98",5 Players
RaceRoom Racing Experience,12.,France,"$2,529.35",17 Players
RaceRoom Racing Experience,13.,Netherlands,"$2,428.56",4 Players
RaceRoom Racing Experience,14.,Indonesia,"$1,995.00",1 Player
RaceRoom Racing Experience,15.,Turkey,"$1,840.07",2 Players
RaceRoom Racing Experience,16.,Czech Republic,"$1,429.47",3 Players
RaceRoom Racing Experience,17.,Croatia,"$1,356.00",1 Player
RaceRoom Racing Experience,18.,Hong Kong,$960.00,1 Player
RaceRoom Racing Experience,19.,Macao,$600.00,1 Player
RaceRoom Racing Experience,20.,Argentina,$566.30,2 Players
RaceRoom Racing Experience,21.,Malaysia,$555.00,1 Player
RaceRoom Racing Experience,22.,Estonia,$515.00,1 Player
RaceRoom Racing Experience,23.,Belgium,$470.83,1 Player
RaceRoom Racing Experience,24.,Finland,$367.25,1 Player
RaceRoom Racing Experience,25.,Romania,$234.48,3 Players
RaceRoom Racing Experience,26.,Brazil,$141.25,1 Player
RaceRoom Racing Experience,27.,Monaco,$113.00,1 Player
RaceRoom Racing Experience,28.,Serbia,$110.00,2 Players
RaceRoom Racing Experience,29.,Ireland,$109.00,1 Player
RaceRoom Racing Experience,30.,Portugal,$88.71,3 Players
RaceRoom Racing Experience,31.,Switzerland,$82.83,1 Player
RaceRoom Racing Experience,32.,Malta,$57.87,1 Player
RaceRoom Racing Experience,33.,Liechtenstein,$28.00,1 Player
RaceRoom Racing Experience,34.,Austria,$0.00,1 Player
RaceRoom Racing Experience,35.,Norway,$0.00,1 Player
