rank,country,earning,players,tournaments
TrackMania 2 Stadium,1.,France,"$63,734.98",199 Players
TrackMania 2 Stadium,2.,Canada,"$39,173.50",5 Players
TrackMania 2 Stadium,3.,United Kingdom,"$18,311.54",10 Players
TrackMania 2 Stadium,4.,Germany,"$17,732.69",55 Players
TrackMania 2 Stadium,5.,Czech Republic,"$17,253.49",10 Players
TrackMania 2 Stadium,6.,Slovakia,"$16,219.65",4 Players
TrackMania 2 Stadium,7.,Netherlands,"$12,161.79",21 Players
TrackMania 2 Stadium,8.,Belgium,"$6,205.88",16 Players
TrackMania 2 Stadium,9.,Poland,"$1,480.77",16 Players
TrackMania 2 Stadium,10.,Spain,"$1,457.00",5 Players
TrackMania 2 Stadium,11.,Austria,"$1,303.50",8 Players
TrackMania 2 Stadium,12.,Switzerland,"$1,091.44",6 Players
TrackMania 2 Stadium,13.,Sweden,$851.29,8 Players
TrackMania 2 Stadium,14.,Norway,$669.60,7 Players
TrackMania 2 Stadium,15.,Estonia,$416.31,6 Players
TrackMania 2 Stadium,16.,Finland,$415.09,5 Players
TrackMania 2 Stadium,17.,Denmark,$319.58,7 Players
TrackMania 2 Stadium,18.,Brazil,$282.28,1 Player
TrackMania 2 Stadium,19.,Australia,$268.41,3 Players
TrackMania 2 Stadium,20.,Croatia,$256.31,2 Players
TrackMania 2 Stadium,21.,United States,$167.55,3 Players
TrackMania 2 Stadium,22.,Hungary,$145.88,3 Players
TrackMania 2 Stadium,23.,Romania,$145.34,3 Players
TrackMania 2 Stadium,24.,Lithuania,$91.60,1 Player
TrackMania 2 Stadium,25.,Portugal,$90.33,5 Players
TrackMania 2 Stadium,26.,Ukraine,$11.20,1 Player
TrackMania 2 Stadium,27.,Russian Federation,$11.05,1 Player
