rank,country,earning,players,tournaments
TrackMania Nations Forever,1.,Sweden,"$45,848.68",7 Players
TrackMania Nations Forever,2.,France,"$34,965.89",39 Players
TrackMania Nations Forever,3.,Norway,"$17,766.03",6 Players
TrackMania Nations Forever,4.,Netherlands,"$16,177.25",8 Players
TrackMania Nations Forever,5.,Slovakia,"$15,582.30",3 Players
TrackMania Nations Forever,6.,Germany,"$12,331.38",34 Players
TrackMania Nations Forever,7.,Portugal,"$5,327.01",6 Players
TrackMania Nations Forever,8.,Canada,"$5,015.54",4 Players
TrackMania Nations Forever,9.,Austria,"$4,365.19",3 Players
TrackMania Nations Forever,10.,United Kingdom,"$3,648.47",5 Players
TrackMania Nations Forever,11.,Czech Republic,"$1,566.04",6 Players
TrackMania Nations Forever,12.,Italy,"$1,212.48",3 Players
TrackMania Nations Forever,13.,Ireland,$945.54,1 Player
TrackMania Nations Forever,14.,Poland,$703.29,4 Players
TrackMania Nations Forever,15.,Croatia,$396.73,1 Player
TrackMania Nations Forever,16.,Denmark,$349.60,1 Player
TrackMania Nations Forever,17.,Belgium,$320.79,3 Players
TrackMania Nations Forever,18.,Finland,$208.40,3 Players
TrackMania Nations Forever,19.,Brazil,$134.40,1 Player
TrackMania Nations Forever,20.,Estonia,$127.73,1 Player
TrackMania Nations Forever,21.,Serbia,$56.63,1 Player
TrackMania Nations Forever,22.,Russian Federation,$55.19,3 Players
TrackMania Nations Forever,23.,Turkey,$33.60,1 Player
TrackMania Nations Forever,24.,Lithuania,$12.22,1 Player
TrackMania Nations Forever,25.,Ukraine,$12.22,1 Player
