rank,country,earning,players,tournaments
Trackmania (2020),1.,France,"$192,852.21",232 Players
Trackmania (2020),2.,Canada,"$60,911.94",21 Players
Trackmania (2020),3.,Germany,"$45,566.82",110 Players
Trackmania (2020),4.,United Kingdom,"$44,370.91",22 Players
Trackmania (2020),5.,Czech Republic,"$31,707.56",25 Players
Trackmania (2020),6.,Belgium,"$24,649.41",30 Players
Trackmania (2020),7.,Australia,"$22,800.61",16 Players
Trackmania (2020),8.,Switzerland,"$17,789.97",15 Players
Trackmania (2020),9.,Poland,"$15,560.74",21 Players
Trackmania (2020),10.,Netherlands,"$9,770.95",38 Players
Trackmania (2020),11.,United States,"$7,515.30",45 Players
Trackmania (2020),12.,Croatia,"$5,579.31",10 Players
Trackmania (2020),13.,Slovakia,"$5,431.12",5 Players
Trackmania (2020),14.,Sweden,"$4,223.02",11 Players
Trackmania (2020),15.,Norway,"$4,118.96",20 Players
Trackmania (2020),16.,Finland,"$2,880.90",12 Players
Trackmania (2020),17.,Estonia,"$2,677.74",11 Players
Trackmania (2020),18.,Denmark,"$2,643.32",17 Players
Trackmania (2020),19.,Turkey,"$1,740.20",4 Players
Trackmania (2020),20.,Russian Federation,"$1,392.37",16 Players
Trackmania (2020),21.,Brazil,"$1,026.95",9 Players
Trackmania (2020),22.,Latvia,$986.62,6 Players
Trackmania (2020),23.,Portugal,$922.61,11 Players
Trackmania (2020),24.,Austria,$878.18,10 Players
Trackmania (2020),25.,Lithuania,$859.66,5 Players
Trackmania (2020),26.,India,$766.11,16 Players
Trackmania (2020),27.,New Zealand,$750.48,17 Players
Trackmania (2020),28.,Slovenia,$615.56,2 Players
Trackmania (2020),29.,Hungary,$598.30,5 Players
Trackmania (2020),30.,Venezuela,$500.00,2 Players
Trackmania (2020),31.,Indonesia,$478.72,11 Players
Trackmania (2020),32.,"Korea, Republic of",$313.88,2 Players
Trackmania (2020),33.,South Africa,$254.74,5 Players
Trackmania (2020),34.,Colombia,$229.95,1 Player
Trackmania (2020),35.,Serbia,$212.44,2 Players
Trackmania (2020),36.,Ireland,$208.46,3 Players
Trackmania (2020),37.,Italy,$185.51,2 Players
Trackmania (2020),38.,Viet Nam,$160.48,2 Players
Trackmania (2020),39.,Argentina,$151.00,1 Player
Trackmania (2020),40.,Romania,$108.05,1 Player
Trackmania (2020),41.,"Taiwan, Republic of China",$105.00,1 Player
Trackmania (2020),42.,Israel,$98.13,3 Players
Trackmania (2020),43.,Chile,$84.32,4 Players
Trackmania (2020),44.,Morocco,$64.22,4 Players
Trackmania (2020),45.,Albania,$35.54,1 Player
Trackmania (2020),46.,Jamaica,$27.36,1 Player
Trackmania (2020),47.,Uruguay,$20.00,1 Player
Trackmania (2020),48.,Ukraine,$12.14,1 Player
Trackmania (2020),49.,United Arab Emirates,$10.00,1 Player
Trackmania (2020),50.,Malaysia,$5.93,1 Player
Trackmania (2020),51.,Singapore,$5.00,1 Player
