rank,country,earning,players,tournaments
iRacing.com,1.,United States,"$1,216,447.85",441 Players
iRacing.com,2.,United Kingdom,"$430,557.87",129 Players
iRacing.com,3.,Australia,"$337,494.51",36 Players
iRacing.com,4.,Germany,"$305,560.59",193 Players
iRacing.com,5.,Canada,"$214,080.66",33 Players
iRacing.com,6.,Finland,"$155,581.74",73 Players
iRacing.com,7.,Spain,"$103,854.83",95 Players
iRacing.com,8.,Portugal,"$102,620.86",19 Players
iRacing.com,9.,France,"$80,998.56",64 Players
iRacing.com,10.,Cuba,"$69,879.00",1 Player
iRacing.com,11.,Italy,"$46,101.68",46 Players
iRacing.com,12.,Netherlands,"$43,071.39",84 Players
iRacing.com,13.,Norway,"$32,662.19",11 Players
iRacing.com,14.,Denmark,"$31,369.59",44 Players
iRacing.com,15.,Brazil,"$30,328.33",11 Players
iRacing.com,16.,Turkey,"$12,593.25",4 Players
iRacing.com,17.,Austria,"$7,373.76",20 Players
iRacing.com,18.,Russian Federation,"$6,039.53",11 Players
iRacing.com,19.,Poland,"$5,970.92",24 Players
iRacing.com,20.,Slovakia,"$5,491.00",3 Players
iRacing.com,21.,Belgium,"$4,091.08",19 Players
iRacing.com,22.,Ireland,"$3,971.83",5 Players
iRacing.com,23.,Estonia,"$3,309.00",1 Player
iRacing.com,24.,Argentina,"$3,119.31",10 Players
iRacing.com,25.,Sweden,"$3,090.06",22 Players
iRacing.com,26.,Hungary,"$2,542.30",16 Players
iRacing.com,27.,Singapore,"$1,518.33",1 Player
iRacing.com,28.,Lithuania,"$1,358.88",3 Players
iRacing.com,29.,India,"$1,210.83",1 Player
iRacing.com,30.,South Africa,"$1,208.70",3 Players
iRacing.com,31.,Japan,"$1,177.32",6 Players
iRacing.com,32.,Greece,"$1,117.00",5 Players
iRacing.com,33.,Switzerland,"$1,066.70",16 Players
iRacing.com,34.,Bulgaria,"$1,000.00",1 Player
iRacing.com,35.,Czech Republic,$966.83,6 Players
iRacing.com,36.,North Macedonia,$799.45,2 Players
iRacing.com,37.,Isle of Man,$786.00,1 Player
iRacing.com,38.,New Zealand,$537.00,3 Players
iRacing.com,39.,Mexico,$115.00,1 Player
iRacing.com,40.,Luxembourg,$109.48,3 Players
iRacing.com,41.,Romania,$95.54,4 Players
iRacing.com,42.,Dominican Republic,$69.37,2 Players
iRacing.com,43.,Slovenia,$63.51,1 Player
iRacing.com,44.,Chile,$60.00,2 Players
iRacing.com,45.,Croatia,$44.86,3 Players
iRacing.com,46.,Malaysia,$33.33,1 Player
iRacing.com,47.,Ukraine,$33.33,1 Player
iRacing.com,48.,Kazakhstan,$25.00,1 Player
iRacing.com,49.,Andorra,$12.00,1 Player
iRacing.com,50.,"Virgin Islands, U.S.",$12.00,1 Player
iRacing.com,51.,Serbia,$11.25,1 Player
iRacing.com,52.,Puerto Rico,$5.82,1 Player
