rank,country,earning,players,tournaments
rFactor 2,1.,Netherlands,"$414,460.42",69 Players
rFactor 2,2.,Germany,"$214,724.18",54 Players
rFactor 2,3.,United Kingdom,"$178,111.98",72 Players
rFactor 2,4.,Finland,"$159,046.01",16 Players
rFactor 2,5.,Italy,"$138,894.57",52 Players
rFactor 2,6.,Sweden,"$120,700.10",8 Players
rFactor 2,7.,France,"$103,597.42",29 Players
rFactor 2,8.,Slovenia,"$94,351.67",7 Players
rFactor 2,9.,Denmark,"$86,107.89",34 Players
rFactor 2,10.,North Macedonia,"$82,265.35",2 Players
rFactor 2,11.,Poland,"$74,302.74",27 Players
rFactor 2,12.,Brazil,"$64,421.44",9 Players
rFactor 2,13.,Argentina,"$43,334.53",5 Players
rFactor 2,14.,Croatia,"$40,441.52",5 Players
rFactor 2,15.,Czech Republic,"$37,748.49",9 Players
rFactor 2,16.,Hungary,"$36,038.59",21 Players
rFactor 2,17.,United States,"$34,006.13",19 Players
rFactor 2,18.,Estonia,"$32,935.92",24 Players
rFactor 2,19.,Switzerland,"$28,137.59",5 Players
rFactor 2,20.,Portugal,"$26,691.00",8 Players
rFactor 2,21.,Australia,"$25,300.81",14 Players
rFactor 2,22.,Belgium,"$22,251.86",5 Players
rFactor 2,23.,China,"$21,050.00",1 Player
rFactor 2,24.,New Zealand,"$20,229.83",3 Players
rFactor 2,25.,Spain,"$14,000.72",14 Players
rFactor 2,26.,Norway,"$10,796.93",5 Players
rFactor 2,27.,Greece,"$10,154.66",7 Players
rFactor 2,28.,Lithuania,"$9,875.00",1 Player
rFactor 2,29.,Russian Federation,"$8,121.13",16 Players
rFactor 2,30.,Turkey,"$8,091.20",3 Players
rFactor 2,31.,Canada,"$7,833.12",6 Players
rFactor 2,32.,South Africa,"$7,176.67",4 Players
rFactor 2,33.,Indonesia,"$6,051.59",43 Players
rFactor 2,34.,Bulgaria,"$5,039.29",9 Players
rFactor 2,35.,Austria,"$3,878.83",5 Players
rFactor 2,36.,Malaysia,"$3,180.58",2 Players
rFactor 2,37.,Luxembourg,"$2,500.00",1 Player
rFactor 2,38.,Ireland,"$2,433.28",8 Players
rFactor 2,39.,Philippines,"$2,278.02",1 Player
rFactor 2,40.,Singapore,"$2,093.73",3 Players
rFactor 2,41.,Isle of Man,"$1,250.00",1 Player
rFactor 2,42.,Serbia,"$1,206.40",2 Players
rFactor 2,43.,Slovakia,"$1,122.54",4 Players
rFactor 2,44.,Colombia,$250.00,1 Player
rFactor 2,45.,Peru,$196.87,3 Players
rFactor 2,46.,Romania,$161.58,1 Player
rFactor 2,47.,Ukraine,$54.00,1 Player
rFactor 2,48.,Chile,$50.89,1 Player
rFactor 2,49.,India,$3.39,1 Player
