rank,country,earning,players,tournaments
Echo Arena,1.,United States,"$87,914.10",42 Players
Echo Arena,2.,United Kingdom,"$38,484.82",38 Players
Echo Arena,3.,Germany,"$29,214.71",4 Players
Echo Arena,4.,Canada,"$22,242.29",5 Players
Echo Arena,5.,Australia,"$3,583.30",18 Players
Echo Arena,6.,Norway,"$3,479.79",2 Players
Echo Arena,7.,Jersey,"$3,453.33",1 Player
Echo Arena,8.,Netherlands,"$2,706.45",2 Players
Echo Arena,9.,Finland,"$1,791.20",2 Players
Echo Arena,10.,Japan,$266.68,4 Players
Echo Arena,11.,Spain,$223.33,2 Players
Echo Arena,12.,New Zealand,$141.67,2 Players
Echo Arena,13.,Thailand,$66.67,1 Player
Echo Arena,14.,Denmark,$64.00,1 Player
Echo Arena,15.,France,$50.00,1 Player
Echo Arena,16.,Hungary,$50.00,1 Player
