rank,country,earning,players,tournaments
FIFA 20,1.,United Kingdom,"$418,410.43",33 Players
FIFA 20,2.,Germany,"$378,025.49",47 Players
FIFA 20,3.,Brazil,"$318,354.51",29 Players
FIFA 20,4.,Sweden,"$172,340.89",26 Players
FIFA 20,5.,Spain,"$157,440.12",23 Players
FIFA 20,6.,Denmark,"$144,348.04",37 Players
FIFA 20,7.,France,"$143,550.96",20 Players
FIFA 20,8.,United States,"$125,391.39",15 Players
FIFA 20,9.,Italy,"$104,689.90",14 Players
FIFA 20,10.,Netherlands,"$95,029.72",28 Players
FIFA 20,11.,Saudi Arabia,"$89,186.68",11 Players
FIFA 20,12.,Portugal,"$66,871.38",11 Players
FIFA 20,13.,Mexico,"$51,106.79",7 Players
FIFA 20,14.,Australia,"$45,661.73",13 Players
FIFA 20,15.,Poland,"$42,748.95",6 Players
FIFA 20,16.,Argentina,"$40,551.12",5 Players
FIFA 20,17.,Japan,"$31,350.66",8 Players
FIFA 20,18.,Turkey,"$28,289.52",3 Players
FIFA 20,19.,Austria,"$18,056.86",7 Players
FIFA 20,20.,Belgium,"$17,993.00",2 Players
FIFA 20,21.,Canada,"$12,910.81",6 Players
FIFA 20,22.,Colombia,"$12,409.62",6 Players
FIFA 20,23.,Singapore,"$11,937.94",4 Players
FIFA 20,24.,Egypt,"$11,865.00",6 Players
FIFA 20,25.,Indonesia,"$8,787.00",1 Player
FIFA 20,26.,South Africa,"$8,355.53",2 Players
FIFA 20,27.,Hungary,"$8,111.52",1 Player
FIFA 20,28.,Czech Republic,"$7,931.26",9 Players
FIFA 20,29.,Malta,"$7,920.82",18 Players
FIFA 20,30.,Israel,"$7,335.50",3 Players
FIFA 20,31.,Norway,"$6,733.29",2 Players
FIFA 20,32.,Croatia,"$6,407.39",1 Player
FIFA 20,33.,Russian Federation,"$2,950.69",2 Players
FIFA 20,34.,Finland,"$2,747.00",1 Player
FIFA 20,35.,Bulgaria,"$2,271.54",1 Player
FIFA 20,36.,Ukraine,"$1,730.00",1 Player
FIFA 20,37.,Latvia,"$1,331.00",1 Player
FIFA 20,38.,Slovakia,"$1,331.00",1 Player
FIFA 20,39.,Bahrain,"$1,306.00",1 Player
FIFA 20,40.,Senegal,"$1,248.00",1 Player
FIFA 20,41.,Hong Kong,$999.41,1 Player
FIFA 20,42.,Ireland,$500.00,1 Player
