rank,country,earning,players,tournaments
FIFA Online 3,1.,"Korea, Republic of","$949,871.26",22 Players
FIFA Online 3,2.,Thailand,"$450,387.17",38 Players
FIFA Online 3,3.,China,"$217,669.36",36 Players
FIFA Online 3,4.,Singapore,"$150,365.20",7 Players
FIFA Online 3,5.,Viet Nam,"$50,161.35",12 Players
FIFA Online 3,6.,Malaysia,"$47,729.30",12 Players
FIFA Online 3,7.,Indonesia,"$28,452.47",11 Players
FIFA Online 3,8.,Ukraine,"$16,563.57",3 Players
FIFA Online 3,9.,Sweden,"$7,315.54",1 Player
FIFA Online 3,10.,France,"$6,321.47",1 Player
FIFA Online 3,11.,India,"$2,414.88",1 Player
FIFA Online 3,12.,Italy,$291.29,1 Player
