rank,country,earning,players,tournaments
Pro Evolution Soccer 2019,1.,Brazil,"$93,400.00",11 Players
Pro Evolution Soccer 2019,2.,Indonesia,"$50,000.00",4 Players
Pro Evolution Soccer 2019,3.,France,"$25,000.00",1 Player
Pro Evolution Soccer 2019,4.,Japan,"$16,000.00",4 Players
Pro Evolution Soccer 2019,5.,Italy,"$15,000.00",1 Player
Pro Evolution Soccer 2019,6.,Portugal,"$5,000.00",1 Player
Pro Evolution Soccer 2019,7.,Hong Kong,"$1,600.00",2 Players
Pro Evolution Soccer 2019,8.,Spain,"$1,000.00",1 Player
Pro Evolution Soccer 2019,9.,Colombia,$600.00,1 Player
Pro Evolution Soccer 2019,10.,Germany,$600.00,1 Player
Pro Evolution Soccer 2019,11.,Viet Nam,$600.00,1 Player
