rank,country,earning,players,tournaments
Rocket League,1.,United States,"$9,513,826.06",1193 Players
Rocket League,2.,France,"$3,991,567.10",240 Players
Rocket League,3.,United Kingdom,"$2,764,220.07",327 Players
Rocket League,4.,Brazil,"$1,918,576.35",92 Players
Rocket League,5.,Canada,"$1,750,244.83",168 Players
Rocket League,6.,Australia,"$1,675,598.59",229 Players
Rocket League,7.,Saudi Arabia,"$1,479,927.58",91 Players
Rocket League,8.,Netherlands,"$1,100,404.13",162 Players
Rocket League,9.,Spain,"$1,017,533.96",109 Players
Rocket League,10.,Germany,"$690,028.85",175 Players
Rocket League,11.,Sweden,"$574,085.72",51 Players
Rocket League,12.,Belgium,"$359,157.76",71 Players
Rocket League,13.,Finland,"$352,680.13",39 Players
Rocket League,14.,South Africa,"$337,578.19",62 Players
Rocket League,15.,Denmark,"$332,457.94",52 Players
Rocket League,16.,Argentina,"$323,995.91",24 Players
Rocket League,17.,Japan,"$255,941.65",62 Players
Rocket League,18.,Italy,"$245,854.32",72 Players
Rocket League,19.,Morocco,"$213,072.94",5 Players
Rocket League,20.,Austria,"$209,616.85",36 Players
Rocket League,21.,New Zealand,"$209,276.57",22 Players
Rocket League,22.,Chile,"$196,989.32",23 Players
Rocket League,23.,Norway,"$164,347.53",61 Players
Rocket League,24.,Ireland,"$118,679.53",41 Players
Rocket League,25.,Portugal,"$99,205.77",29 Players
Rocket League,26.,Switzerland,"$98,135.79",85 Players
Rocket League,27.,Poland,"$91,354.39",25 Players
Rocket League,28.,Indonesia,"$87,943.65",14 Players
Rocket League,29.,Singapore,"$77,482.50",14 Players
Rocket League,30.,Mexico,"$43,240.57",28 Players
Rocket League,31.,Puerto Rico,"$36,778.34",6 Players
Rocket League,32.,Iceland,"$29,147.40",26 Players
Rocket League,33.,India,"$27,841.22",15 Players
Rocket League,34.,Czech Republic,"$19,618.92",28 Players
Rocket League,35.,Malaysia,"$19,017.30",3 Players
Rocket League,36.,Hungary,"$15,472.57",54 Players
Rocket League,37.,Thailand,"$14,783.34",2 Players
Rocket League,38.,Qatar,"$13,025.69",15 Players
Rocket League,39.,Turkey,"$10,973.55",17 Players
Rocket League,40.,Yemen,"$9,536.67",1 Player
Rocket League,41.,Croatia,"$8,039.40",16 Players
Rocket League,42.,Lithuania,"$7,425.85",4 Players
Rocket League,43.,Kuwait,"$6,815.88",9 Players
Rocket League,44.,Philippines,"$6,466.67",5 Players
Rocket League,45.,Uruguay,"$4,483.33",3 Players
Rocket League,46.,Romania,"$3,565.71",7 Players
Rocket League,47.,Egypt,"$3,425.83",1 Player
Rocket League,48.,Guernsey,"$2,189.90",1 Player
Rocket League,49.,Peru,"$2,163.11",4 Players
Rocket League,50.,Luxembourg,"$2,137.45",6 Players
Rocket League,51.,Slovakia,"$1,921.04",4 Players
Rocket League,52.,Malta,"$1,892.36",22 Players
Rocket League,53.,Brunei Darussalam,"$1,341.66",1 Player
Rocket League,54.,Serbia,"$1,160.78",3 Players
Rocket League,55.,Russian Federation,"$1,000.52",9 Players
Rocket League,56.,Israel,$984.66,2 Players
Rocket League,57.,"Palestine, State of",$892.86,1 Player
Rocket League,58.,Reunion,$800.00,2 Players
Rocket League,59.,Oman,$500.00,1 Player
Rocket League,60.,Albania,$415.57,1 Player
Rocket League,61.,Hong Kong,$359.99,2 Players
Rocket League,62.,Bangladesh,$300.00,1 Player
Rocket League,63.,Latvia,$276.24,1 Player
Rocket League,64.,Slovenia,$275.59,1 Player
Rocket League,65.,Monaco,$267.87,1 Player
Rocket League,66.,"Korea, Republic of",$176.92,1 Player
Rocket League,67.,Estonia,$176.00,1 Player
Rocket League,68.,Colombia,$154.85,9 Players
Rocket League,69.,Jersey,$138.76,1 Player
Rocket League,70.,Ukraine,$112.53,1 Player
Rocket League,71.,Costa Rica,$100.00,2 Players
Rocket League,72.,Mozambique,$95.07,1 Player
Rocket League,73.,Ecuador,$75.00,1 Player
Rocket League,74.,Panama,$75.00,1 Player
Rocket League,75.,Kazakhstan,$66.67,1 Player
Rocket League,76.,Dominican Republic,$19.94,1 Player
Rocket League,77.,Bolivia,$16.67,1 Player
