rank,country,earning,players,tournaments
eFootball,1.,Brazil,"$112,500.00",14 Players
eFootball,2.,Indonesia,"$80,000.00",7 Players
eFootball,3.,Japan,"$70,000.00",6 Players
eFootball,4.,Argentina,"$59,000.00",3 Players
eFootball,5.,Italy,"$41,500.00",8 Players
eFootball,6.,Germany,"$19,000.00",3 Players
eFootball,7.,Turkey,"$19,000.00",2 Players
eFootball,8.,Spain,"$18,000.00",3 Players
eFootball,9.,Russian Federation,"$15,000.00",1 Player
eFootball,10.,Israel,"$10,000.00",1 Player
eFootball,11.,Malaysia,"$9,000.00",2 Players
eFootball,12.,United Arab Emirates,"$7,500.00",1 Player
eFootball,13.,Senegal,"$7,500.00",1 Player
eFootball,14.,Jordan,"$4,000.00",2 Players
eFootball,15.,Mexico,"$3,000.00",2 Players
eFootball,16.,France,"$2,000.00",1 Player
eFootball,17.,Portugal,"$2,000.00",2 Players
eFootball,18.,India,"$1,000.00",1 Player
eFootball,19.,Netherlands,"$1,000.00",1 Player
eFootball,20.,Tunisia,"$1,000.00",1 Player
