rank,country,earning,players,tournaments
Age of Empires II,1.,Norway,"$373,432.53",30 Players
Age of Empires II,2.,China,"$341,357.45",158 Players
Age of Empires II,3.,Canada,"$306,836.15",48 Players
Age of Empires II,4.,Austria,"$208,166.80",21 Players
Age of Empires II,5.,Spain,"$198,480.80",78 Players
Age of Empires II,6.,Brazil,"$174,485.60",83 Players
Age of Empires II,7.,Finland,"$154,318.37",33 Players
Age of Empires II,8.,"Korea, Republic of","$151,951.41",16 Players
Age of Empires II,9.,Germany,"$149,166.83",205 Players
Age of Empires II,10.,Serbia,"$134,930.45",5 Players
Age of Empires II,11.,Viet Nam,"$131,145.37",62 Players
Age of Empires II,12.,Argentina,"$115,591.81",101 Players
Age of Empires II,13.,"Taiwan, Republic of China","$81,263.25",101 Players
Age of Empires II,14.,Russian Federation,"$78,602.59",55 Players
Age of Empires II,15.,United States,"$73,256.47",177 Players
Age of Empires II,16.,France,"$70,965.43",137 Players
Age of Empires II,17.,Japan,"$50,364.73",56 Players
Age of Empires II,18.,Hong Kong,"$36,521.26",53 Players
Age of Empires II,19.,United Kingdom,"$35,657.03",74 Players
Age of Empires II,20.,Poland,"$32,247.05",55 Players
Age of Empires II,21.,Sweden,"$22,250.20",34 Players
Age of Empires II,22.,Turkey,"$17,956.87",47 Players
Age of Empires II,23.,Italy,"$16,593.03",59 Players
Age of Empires II,24.,Netherlands,"$15,912.07",42 Players
Age of Empires II,25.,Mexico,"$14,039.20",63 Players
Age of Empires II,26.,Czech Republic,"$13,293.31",17 Players
Age of Empires II,27.,Peru,"$12,608.78",6 Players
Age of Empires II,28.,Greece,"$11,400.83",5 Players
Age of Empires II,29.,Kazakhstan,"$11,280.00",16 Players
Age of Empires II,30.,Australia,"$11,028.01",60 Players
Age of Empires II,31.,India,"$10,873.96",65 Players
Age of Empires II,32.,Chile,"$9,596.13",32 Players
Age of Empires II,33.,Belgium,"$9,118.95",8 Players
Age of Empires II,34.,Ukraine,"$8,673.87",15 Players
Age of Empires II,35.,Slovenia,"$8,534.16",8 Players
Age of Empires II,36.,Denmark,"$8,080.90",15 Players
Age of Empires II,37.,Israel,"$5,876.39",8 Players
Age of Empires II,38.,Bulgaria,"$5,415.12",3 Players
Age of Empires II,39.,Switzerland,"$4,646.20",39 Players
Age of Empires II,40.,Ireland,"$4,637.30",5 Players
Age of Empires II,41.,Belarus,"$4,163.47",6 Players
Age of Empires II,42.,Hungary,"$3,537.85",63 Players
Age of Empires II,43.,Uruguay,"$2,997.68",8 Players
Age of Empires II,44.,Lithuania,"$2,733.43",4 Players
Age of Empires II,45.,Portugal,"$2,094.58",15 Players
Age of Empires II,46.,Estonia,"$1,957.67",3 Players
Age of Empires II,47.,Romania,"$1,712.62",21 Players
Age of Empires II,48.,New Zealand,"$1,637.13",7 Players
Age of Empires II,49.,Latvia,"$1,352.84",3 Players
Age of Empires II,50.,Slovakia,"$1,336.00",4 Players
Age of Empires II,51.,Colombia,"$1,083.44",12 Players
Age of Empires II,52.,Bosnia and Herzegovina,$665.85,9 Players
Age of Empires II,53.,Pakistan,$664.88,9 Players
Age of Empires II,54.,Malaysia,$651.00,4 Players
Age of Empires II,55.,Singapore,$650.00,1 Player
Age of Empires II,56.,Algeria,$525.00,1 Player
Age of Empires II,57.,Malta,$453.33,1 Player
Age of Empires II,58.,Croatia,$350.37,6 Players
Age of Empires II,59.,--UNDEFINED--,$329.25,10 Players
Age of Empires II,60.,"Iran, Islamic Republic of",$312.50,1 Player
Age of Empires II,61.,Åland Islands,$250.00,1 Player
Age of Empires II,62.,South Africa,$226.04,9 Players
Age of Empires II,63.,Sri Lanka,$210.00,1 Player
Age of Empires II,64.,Bahrain,$134.19,2 Players
Age of Empires II,65.,Albania,$109.19,1 Player
Age of Empires II,66.,Morocco,$78.50,2 Players
Age of Empires II,67.,United Arab Emirates,$62.50,1 Player
Age of Empires II,68.,Bolivia,$50.00,1 Player
Age of Empires II,69.,Luxembourg,$41.59,1 Player
Age of Empires II,70.,Montenegro,$35.00,1 Player
Age of Empires II,71.,Paraguay,$27.00,2 Players
Age of Empires II,72.,Lebanon,$23.50,1 Player
Age of Empires II,73.,Ecuador,$20.00,1 Player
Age of Empires II,74.,Macao,$20.00,1 Player
