rank,country,earning,players,tournaments
Age of Empires III,1.,United States,"$25,531.28",36 Players
Age of Empires III,2.,Germany,"$19,010.17",32 Players
Age of Empires III,3.,"Korea, Republic of","$17,250.00",2 Players
Age of Empires III,4.,France,"$13,121.68",21 Players
Age of Empires III,5.,United Kingdom,"$6,358.68",7 Players
Age of Empires III,6.,Canada,"$5,292.33",3 Players
Age of Empires III,7.,Austria,"$5,009.17",8 Players
Age of Empires III,8.,Turkey,"$4,108.00",2 Players
Age of Empires III,9.,Finland,"$3,393.33",5 Players
Age of Empires III,10.,Japan,"$1,827.74",9 Players
Age of Empires III,11.,China,"$1,647.86",3 Players
Age of Empires III,12.,Latvia,"$1,605.00",2 Players
Age of Empires III,13.,Romania,"$1,374.50",1 Player
Age of Empires III,14.,Malaysia,"$1,186.00",1 Player
Age of Empires III,15.,Switzerland,"$1,105.00",7 Players
Age of Empires III,16.,Sweden,"$1,089.75",1 Player
Age of Empires III,17.,--UNDEFINED--,"$1,045.00",10 Players
Age of Empires III,18.,Poland,$948.79,3 Players
Age of Empires III,19.,Spain,$722.86,4 Players
Age of Empires III,20.,Netherlands,$636.20,8 Players
Age of Empires III,21.,Italy,$515.40,1 Player
Age of Empires III,22.,Belgium,$371.43,1 Player
Age of Empires III,23.,Serbia,$300.00,1 Player
Age of Empires III,24.,Mexico,$280.00,2 Players
Age of Empires III,25.,Colombia,$275.00,1 Player
Age of Empires III,26.,Australia,$200.00,3 Players
Age of Empires III,27.,Israel,$200.00,1 Player
Age of Empires III,28.,Norway,$200.00,1 Player
Age of Empires III,29.,Brazil,$156.00,1 Player
Age of Empires III,30.,Hong Kong,$125.00,1 Player
Age of Empires III,31.,Czech Republic,$115.00,1 Player
Age of Empires III,32.,Zimbabwe,$100.00,1 Player
Age of Empires III,33.,India,$80.00,2 Players
Age of Empires III,34.,Greece,$45.00,1 Player
Age of Empires III,35.,Argentina,$42.50,2 Players
Age of Empires III,36.,Armenia,$20.00,1 Player
