rank,country,earning,players,tournaments
Age of Empires IV,1.,France,"$200,528.17",39 Players
Age of Empires IV,2.,Serbia,"$109,900.22",2 Players
Age of Empires IV,3.,Spain,"$105,766.93",11 Players
Age of Empires IV,4.,Canada,"$98,692.78",19 Players
Age of Empires IV,5.,Greece,"$67,412.69",3 Players
Age of Empires IV,6.,United Kingdom,"$61,085.05",11 Players
Age of Empires IV,7.,China,"$50,767.49",231 Players
Age of Empires IV,8.,"Korea, Republic of","$45,408.59",23 Players
Age of Empires IV,9.,Norway,"$40,306.66",4 Players
Age of Empires IV,10.,Germany,"$35,644.91",47 Players
Age of Empires IV,11.,Russian Federation,"$29,434.58",51 Players
Age of Empires IV,12.,Australia,"$19,413.21",19 Players
Age of Empires IV,13.,United States,"$18,511.69",39 Players
Age of Empires IV,14.,Turkey,"$15,155.27",3 Players
Age of Empires IV,15.,Argentina,"$13,383.73",3 Players
Age of Empires IV,16.,Sweden,"$12,824.69",7 Players
Age of Empires IV,17.,Netherlands,"$7,650.83",5 Players
Age of Empires IV,18.,Brazil,"$5,852.07",20 Players
Age of Empires IV,19.,Viet Nam,"$5,164.94",11 Players
Age of Empires IV,20.,Hungary,"$4,556.17",5 Players
Age of Empires IV,21.,Poland,"$4,211.07",12 Players
Age of Empires IV,22.,Belarus,"$3,479.17",3 Players
Age of Empires IV,23.,Switzerland,"$3,372.16",10 Players
Age of Empires IV,24.,Finland,"$3,126.00",9 Players
Age of Empires IV,25.,Japan,"$2,985.67",5 Players
Age of Empires IV,26.,"Taiwan, Republic of China","$2,629.71",10 Players
Age of Empires IV,27.,Austria,"$2,417.66",6 Players
Age of Empires IV,28.,Romania,"$1,652.00",2 Players
Age of Empires IV,29.,Ukraine,"$1,600.36",4 Players
Age of Empires IV,30.,Thailand,"$1,477.00",4 Players
Age of Empires IV,31.,Mexico,$872.53,5 Players
Age of Empires IV,32.,Peru,$361.67,5 Players
Age of Empires IV,33.,North Macedonia,$269.16,1 Player
Age of Empires IV,34.,New Zealand,$170.00,1 Player
Age of Empires IV,35.,Italy,$160.46,2 Players
Age of Empires IV,36.,Portugal,$144.78,2 Players
Age of Empires IV,37.,--UNDEFINED--,$123.36,3 Players
Age of Empires IV,38.,Hong Kong,$122.00,1 Player
Age of Empires IV,39.,Chile,$91.39,3 Players
Age of Empires IV,40.,Denmark,$83.85,1 Player
Age of Empires IV,41.,Czech Republic,$28.20,2 Players
Age of Empires IV,42.,Israel,$27.00,1 Player
Age of Empires IV,43.,Bosnia and Herzegovina,$15.00,1 Player
