rank,country,earning,players,tournaments
Age of Empires Online,1.,Germany,"$3,443.97",7 Players
Age of Empires Online,2.,Portugal,"$1,573.28",1 Player
Age of Empires Online,3.,United Kingdom,"$1,055.31",7 Players
Age of Empires Online,4.,Greece,$485.00,1 Player
Age of Empires Online,5.,United States,$476.00,7 Players
Age of Empires Online,6.,Peru,$450.00,3 Players
Age of Empires Online,7.,Saudi Arabia,$345.00,1 Player
Age of Empires Online,8.,Dominican Republic,$300.00,1 Player
Age of Empires Online,9.,Australia,$226.00,1 Player
Age of Empires Online,10.,France,$205.00,4 Players
Age of Empires Online,11.,Georgia,$175.00,1 Player
Age of Empires Online,12.,Canada,$165.00,3 Players
Age of Empires Online,13.,--UNDEFINED--,$75.00,1 Player
Age of Empires Online,14.,Brazil,$75.00,1 Player
Age of Empires Online,15.,Sweden,$70.00,1 Player
Age of Empires Online,16.,Latvia,$65.00,1 Player
Age of Empires Online,17.,Mexico,$50.00,1 Player
Age of Empires Online,18.,Spain,$15.00,1 Player
Age of Empires Online,19.,Italy,$15.00,1 Player
Age of Empires Online,20.,South Africa,$12.00,1 Player
Age of Empires Online,21.,Japan,$10.00,1 Player
