rank,country,earning,players,tournaments
Age of Empires,1.,Viet Nam,"$343,997.02",303 Players
Age of Empires,2.,China,"$126,653.93",195 Players
Age of Empires,3.,United States,"$6,023.85",9 Players
Age of Empires,4.,Canada,"$3,100.00",2 Players
Age of Empires,5.,Denmark,"$3,000.00",1 Player
Age of Empires,6.,Brazil,"$1,103.72",22 Players
Age of Empires,7.,Spain,$865.00,2 Players
Age of Empires,8.,Peru,$811.64,5 Players
Age of Empires,9.,Netherlands,$415.00,3 Players
Age of Empires,10.,Japan,$311.39,4 Players
Age of Empires,11.,North Macedonia,$230.43,1 Player
Age of Empires,12.,Serbia,$200.00,1 Player
Age of Empires,13.,Sweden,$168.33,5 Players
Age of Empires,14.,India,$100.00,1 Player
Age of Empires,15.,Mexico,$62.50,1 Player
Age of Empires,16.,"Taiwan, Republic of China",$50.00,1 Player
Age of Empires,17.,Poland,$33.33,1 Player
Age of Empires,18.,Germany,$30.00,2 Players
Age of Empires,19.,United Kingdom,$29.00,1 Player
Age of Empires,20.,Australia,$25.00,1 Player
Age of Empires,21.,Norway,$25.00,1 Player
Age of Empires,22.,Aruba,$15.00,1 Player
Age of Empires,23.,Côte D'Ivoire,$15.00,1 Player
