rank,country,earning,players,tournaments
Age of Mythology,1.,"Taiwan, Republic of China","$43,173.98",6 Players
Age of Mythology,2.,Germany,"$22,678.53",11 Players
Age of Mythology,3.,Brazil,"$15,923.28",32 Players
Age of Mythology,4.,United Kingdom,"$8,991.35",14 Players
Age of Mythology,5.,Canada,"$6,977.04",10 Players
Age of Mythology,6.,France,"$6,968.80",23 Players
Age of Mythology,7.,Japan,"$5,057.21",4 Players
Age of Mythology,8.,Spain,"$5,020.00",3 Players
Age of Mythology,9.,United Arab Emirates,"$5,000.00",4 Players
Age of Mythology,10.,United States,"$4,974.58",36 Players
Age of Mythology,11.,Greece,"$4,778.95",13 Players
Age of Mythology,12.,Chile,"$3,139.75",3 Players
Age of Mythology,13.,Italy,"$2,542.26",2 Players
Age of Mythology,14.,Hungary,"$1,795.00",3 Players
Age of Mythology,15.,Russian Federation,"$1,549.69",8 Players
Age of Mythology,16.,Mexico,"$1,520.95",7 Players
Age of Mythology,17.,Portugal,"$1,502.73",4 Players
Age of Mythology,18.,Israel,"$1,357.20",3 Players
Age of Mythology,19.,--UNDEFINED--,"$1,325.00",6 Players
Age of Mythology,20.,Sweden,"$1,217.57",5 Players
Age of Mythology,21.,Switzerland,"$1,063.33",5 Players
Age of Mythology,22.,Australia,"$1,050.71",4 Players
Age of Mythology,23.,Netherlands,"$1,013.02",11 Players
Age of Mythology,24.,Turkey,$960.00,5 Players
Age of Mythology,25.,Denmark,$932.07,2 Players
Age of Mythology,26.,Belgium,$865.50,2 Players
Age of Mythology,27.,Argentina,$811.36,5 Players
Age of Mythology,28.,Serbia,$700.00,1 Player
Age of Mythology,29.,Bulgaria,$537.00,1 Player
Age of Mythology,30.,Czech Republic,$250.00,1 Player
Age of Mythology,31.,Austria,$240.00,1 Player
Age of Mythology,32.,Morocco,$165.00,1 Player
Age of Mythology,33.,Egypt,$115.00,1 Player
Age of Mythology,34.,Georgia,$94.00,1 Player
Age of Mythology,35.,Peru,$53.36,2 Players
Age of Mythology,36.,Colombia,$50.36,1 Player
Age of Mythology,37.,Armenia,$40.00,1 Player
Age of Mythology,38.,Lithuania,$21.00,1 Player
Age of Mythology,39.,Kazakhstan,$13.95,1 Player
Age of Mythology,40.,New Zealand,$12.83,1 Player
Age of Mythology,41.,Norway,$11.00,1 Player
Age of Mythology,42.,El Salvador,$11.00,1 Player
Age of Mythology,43.,Ukraine,$4.29,1 Player
Age of Mythology,44.,Lebanon,$2.83,1 Player
