rank,country,earning,players,tournaments
Brawl Stars,1.,Japan,"$1,862,687.50",83 Players
Brawl Stars,2.,Brazil,"$685,375.14",53 Players
Brawl Stars,3.,United States,"$488,716.53",47 Players
Brawl Stars,4.,Spain,"$482,958.31",45 Players
Brawl Stars,5.,Canada,"$350,750.01",15 Players
Brawl Stars,6.,Singapore,"$345,333.38",46 Players
Brawl Stars,7.,Italy,"$272,150.15",12 Players
Brawl Stars,8.,China,"$267,885.62",57 Players
Brawl Stars,9.,United Kingdom,"$244,124.99",8 Players
Brawl Stars,10.,Germany,"$227,753.11",9 Players
Brawl Stars,11.,Mexico,"$203,628.55",28 Players
Brawl Stars,12.,France,"$195,718.41",28 Players
Brawl Stars,13.,Russian Federation,"$191,649.52",25 Players
Brawl Stars,14.,Puerto Rico,"$153,350.02",4 Players
Brawl Stars,15.,India,"$134,000.03",46 Players
Brawl Stars,16.,Austria,"$100,486.93",1 Player
Brawl Stars,17.,"Moldova, Republic of","$92,744.26",2 Players
Brawl Stars,18.,Poland,"$79,416.70",5 Players
Brawl Stars,19.,"Korea, Republic of","$75,895.78",26 Players
Brawl Stars,20.,Chile,"$71,962.15",17 Players
Brawl Stars,21.,Denmark,"$69,837.59",1 Player
Brawl Stars,22.,Switzerland,"$46,474.27",4 Players
Brawl Stars,23.,Norway,"$42,640.80",1 Player
Brawl Stars,24.,Argentina,"$42,283.30",13 Players
Brawl Stars,25.,Ukraine,"$38,750.07",14 Players
Brawl Stars,26.,Malaysia,"$34,749.99",20 Players
Brawl Stars,27.,Guatemala,"$19,041.67",3 Players
Brawl Stars,28.,Hong Kong,"$12,500.01",3 Players
Brawl Stars,29.,Czech Republic,"$11,145.85",6 Players
Brawl Stars,30.,Peru,"$9,687.48",4 Players
Brawl Stars,31.,Colombia,"$8,833.33",3 Players
Brawl Stars,32.,Romania,"$8,000.00",2 Players
Brawl Stars,33.,Honduras,"$6,800.00",6 Players
Brawl Stars,34.,Bangladesh,"$5,812.50",2 Players
Brawl Stars,35.,Australia,"$5,583.34",5 Players
Brawl Stars,36.,Philippines,"$4,583.33",2 Players
Brawl Stars,37.,Finland,"$4,000.00",1 Player
Brawl Stars,38.,Armenia,"$3,916.67",1 Player
Brawl Stars,39.,Indonesia,"$3,895.82",7 Players
Brawl Stars,40.,Bahrain,"$2,625.00",3 Players
Brawl Stars,41.,Ecuador,"$2,000.00",1 Player
Brawl Stars,42.,Uruguay,"$1,833.34",3 Players
Brawl Stars,43.,New Zealand,"$1,666.67",1 Player
Brawl Stars,44.,Paraguay,"$1,500.00",1 Player
Brawl Stars,45.,"Taiwan, Republic of China","$1,375.00",2 Players
Brawl Stars,46.,Kuwait,"$1,187.50",1 Player
Brawl Stars,47.,El Salvador,"$1,166.67",1 Player
Brawl Stars,48.,Turkey,"$1,083.33",2 Players
Brawl Stars,49.,Iraq,$937.50,1 Player
Brawl Stars,50.,Costa Rica,$600.00,2 Players
Brawl Stars,51.,Croatia,$581.90,1 Player
Brawl Stars,52.,Serbia,$581.90,1 Player
Brawl Stars,53.,Luxembourg,$375.00,1 Player
Brawl Stars,54.,Thailand,$375.00,1 Player
Brawl Stars,55.,Netherlands,$333.33,1 Player
Brawl Stars,56.,Belarus,$250.00,1 Player
Brawl Stars,57.,Dominican Republic,$250.00,1 Player
Brawl Stars,58.,Saudi Arabia,$187.50,1 Player
Brawl Stars,59.,Venezuela,$37.50,1 Player
