rank,country,earning,players,tournaments
Chess.com,1.,United States,"$1,816,465.81",221 Players
Chess.com,2.,Russian Federation,"$989,532.26",140 Players
Chess.com,3.,India,"$483,801.79",110 Players
Chess.com,4.,China,"$262,562.29",34 Players
Chess.com,5.,Armenia,"$186,437.01",32 Players
Chess.com,6.,Norway,"$184,046.30",16 Players
Chess.com,7.,Netherlands,"$173,483.76",22 Players
Chess.com,8.,Ukraine,"$158,099.53",52 Players
Chess.com,9.,"Iran, Islamic Republic of","$135,355.50",18 Players
Chess.com,10.,France,"$127,913.69",27 Players
Chess.com,11.,Azerbaijan,"$126,309.51",35 Players
Chess.com,12.,Uzbekistan,"$120,384.77",13 Players
Chess.com,13.,Viet Nam,"$97,060.47",10 Players
Chess.com,14.,Germany,"$93,550.02",36 Players
Chess.com,15.,Peru,"$91,714.31",11 Players
Chess.com,16.,Poland,"$78,810.69",29 Players
Chess.com,17.,Canada,"$67,645.79",34 Players
Chess.com,18.,Belarus,"$56,715.22",7 Players
Chess.com,19.,United Kingdom,"$53,305.45",23 Players
Chess.com,20.,Spain,"$51,189.52",35 Players
Chess.com,21.,Georgia,"$40,572.65",18 Players
Chess.com,22.,Cuba,"$35,938.59",5 Players
Chess.com,23.,Argentina,"$28,112.88",11 Players
Chess.com,24.,Venezuela,"$23,274.93",4 Players
Chess.com,25.,Greece,"$22,342.45",8 Players
Chess.com,26.,Hungary,"$22,335.70",8 Players
Chess.com,27.,Kazakhstan,"$20,960.52",15 Players
Chess.com,28.,Sweden,"$19,329.50",12 Players
Chess.com,29.,Czech Republic,"$16,178.26",7 Players
Chess.com,30.,Romania,"$13,191.16",7 Players
Chess.com,31.,Bulgaria,"$12,183.95",10 Players
Chess.com,32.,Brazil,"$10,693.68",11 Players
Chess.com,33.,Egypt,"$10,652.72",3 Players
Chess.com,34.,United Arab Emirates,"$10,211.11",1 Player
Chess.com,35.,Israel,"$9,849.46",10 Players
Chess.com,36.,Croatia,"$9,431.27",13 Players
Chess.com,37.,Chile,"$9,040.82",4 Players
Chess.com,38.,Turkey,"$9,037.21",22 Players
Chess.com,39.,Italy,"$9,016.41",19 Players
Chess.com,40.,Serbia,"$7,710.97",12 Players
Chess.com,41.,Ireland,"$7,346.23",6 Players
Chess.com,42.,Denmark,"$7,324.75",4 Players
Chess.com,43.,Monaco,"$5,312.50",1 Player
Chess.com,44.,Morocco,"$4,000.00",1 Player
Chess.com,45.,Lithuania,"$3,697.62",5 Players
Chess.com,46.,Slovenia,"$2,995.22",7 Players
Chess.com,47.,Iceland,"$2,600.00",3 Players
Chess.com,48.,Australia,"$2,562.29",3 Players
Chess.com,49.,Paraguay,"$2,366.49",2 Players
Chess.com,50.,Mexico,"$2,024.75",5 Players
Chess.com,51.,Latvia,"$1,928.92",6 Players
Chess.com,52.,Indonesia,"$1,500.00",4 Players
Chess.com,53.,Belgium,"$1,114.58",1 Player
Chess.com,54.,Bangladesh,$900.00,2 Players
Chess.com,55.,Mongolia,$900.00,1 Player
Chess.com,56.,South Africa,$850.00,1 Player
Chess.com,57.,Philippines,$800.33,6 Players
Chess.com,58.,Japan,$800.00,1 Player
Chess.com,59.,Ecuador,$754.17,3 Players
Chess.com,60.,New Zealand,$750.00,1 Player
Chess.com,61.,Slovakia,$675.55,3 Players
Chess.com,62.,Andorra,$575.00,1 Player
Chess.com,63.,Sri Lanka,$500.00,1 Player
Chess.com,64.,Colombia,$468.05,2 Players
Chess.com,65.,Portugal,$400.00,1 Player
Chess.com,66.,Finland,$399.00,2 Players
Chess.com,67.,Estonia,$299.00,3 Players
Chess.com,68.,Malaysia,$216.43,1 Player
Chess.com,69.,"Moldova, Republic of",$149.00,2 Players
Chess.com,70.,Montenegro,$136.00,2 Players
Chess.com,71.,Bosnia and Herzegovina,$100.00,1 Player
Chess.com,72.,Dominican Republic,$100.00,1 Player
Chess.com,73.,Algeria,$100.00,1 Player
Chess.com,74.,Jamaica,$75.75,1 Player
Chess.com,75.,North Macedonia,$62.50,1 Player
Chess.com,76.,Hong Kong,$57.21,2 Players
Chess.com,77.,Switzerland,$25.00,1 Player
