rank,country,earning,players,tournaments
Clash Royale,1.,Japan,"$1,075,656.83",62 Players
Clash Royale,2.,China,"$766,620.44",52 Players
Clash Royale,3.,United States,"$693,124.71",78 Players
Clash Royale,4.,Spain,"$647,562.89",21 Players
Clash Royale,5.,Mexico,"$578,429.62",39 Players
Clash Royale,6.,Egypt,"$574,494.00",9 Players
Clash Royale,7.,Germany,"$534,896.79",33 Players
Clash Royale,8.,Brazil,"$504,573.85",33 Players
Clash Royale,9.,"Korea, Republic of","$500,837.47",50 Players
Clash Royale,10.,France,"$215,071.12",42 Players
Clash Royale,11.,Netherlands,"$148,595.98",5 Players
Clash Royale,12.,Russian Federation,"$132,640.00",9 Players
Clash Royale,13.,Poland,"$100,980.50",5 Players
Clash Royale,14.,Portugal,"$88,725.00",3 Players
Clash Royale,15.,United Kingdom,"$81,035.42",4 Players
Clash Royale,16.,Hong Kong,"$73,170.23",5 Players
Clash Royale,17.,Italy,"$71,840.25",8 Players
Clash Royale,18.,Canada,"$71,125.00",7 Players
Clash Royale,19.,Viet Nam,"$58,764.01",5 Players
Clash Royale,20.,Argentina,"$57,188.57",12 Players
Clash Royale,21.,Colombia,"$55,795.84",10 Players
Clash Royale,22.,Peru,"$52,412.50",5 Players
Clash Royale,23.,"Taiwan, Republic of China","$49,250.00",7 Players
Clash Royale,24.,Turkey,"$48,100.00",6 Players
Clash Royale,25.,Philippines,"$43,000.00",7 Players
Clash Royale,26.,Venezuela,"$38,660.42",4 Players
Clash Royale,27.,Indonesia,"$37,091.66",4 Players
Clash Royale,28.,Belarus,"$29,665.42",4 Players
Clash Royale,29.,Romania,"$26,916.67",3 Players
Clash Royale,30.,Singapore,"$17,000.00",1 Player
Clash Royale,31.,Slovakia,"$16,585.07",3 Players
Clash Royale,32.,Israel,"$15,750.00",2 Players
Clash Royale,33.,Finland,"$13,000.00",2 Players
Clash Royale,34.,Hungary,"$11,585.07",2 Players
Clash Royale,35.,Bosnia and Herzegovina,"$10,900.00",1 Player
Clash Royale,36.,Czech Republic,"$10,723.38",4 Players
Clash Royale,37.,Bolivia,"$10,000.00",1 Player
Clash Royale,38.,Dominican Republic,"$9,250.00",3 Players
Clash Royale,39.,Austria,"$8,000.00",1 Player
Clash Royale,40.,Serbia,"$7,500.00",2 Players
Clash Royale,41.,Bulgaria,"$6,450.00",2 Players
Clash Royale,42.,Chile,"$4,500.00",3 Players
Clash Royale,43.,Lebanon,"$3,857.44",2 Players
Clash Royale,44.,Kazakhstan,"$3,750.00",2 Players
Clash Royale,45.,Sweden,"$3,500.00",2 Players
Clash Royale,46.,Honduras,"$3,250.00",1 Player
Clash Royale,47.,Syrian Arab Republic,"$2,600.00",1 Player
Clash Royale,48.,India,"$2,200.00",3 Players
Clash Royale,49.,Pakistan,"$2,130.00",1 Player
Clash Royale,50.,Belgium,"$1,812.13",3 Players
Clash Royale,51.,Ukraine,"$1,650.00",2 Players
Clash Royale,52.,Cuba,"$1,500.00",1 Player
Clash Royale,53.,Libyan Arab Jamahiriya,"$1,500.00",1 Player
Clash Royale,54.,Switzerland,"$1,000.00",1 Player
Clash Royale,55.,Costa Rica,"$1,000.00",1 Player
Clash Royale,56.,Nicaragua,"$1,000.00",1 Player
Clash Royale,57.,Australia,$600.00,1 Player
Clash Royale,58.,Ecuador,$500.00,1 Player
Clash Royale,59.,Guatemala,$500.00,1 Player
Clash Royale,60.,Iraq,$500.00,1 Player
Clash Royale,61.,Panama,$200.00,2 Players
